ReportDate,Subdivision,LineCode,TrackNumber,beg_mp,end_mp,length_ft,length_m,grade_to_next,speed,curvature_deg,curve_radius_m,road_grade_pct,speed_kph,cumulative_distance_m,elevation_m
2022-12-28,HENDERSON,00H,SG,250.36988636363637,250.37007575757576,0.9999999999990904,0.3047999999997227,-0.61,40,-4.0,1432.395,-0.61,64.3736,0.3047999999997227,0.0
2022-12-28,HENDERSON,00H,SG,250.38030303030305,250.3804924242424,0.9999999999990904,0.3047999999997227,-0.61,40,-4.0,1432.395,-0.61,64.3736,0.6095999999994454,-0.0018592799999983083
2022-12-28,HENDERSON,00H,SG,250.3933712121212,250.39356060606065,0.9999999999990904,0.3047999999997227,-0.61,41,-4.0,1432.395,-0.61,65.98294,0.9143999999991681,-0.0037185599999966165
2022-12-28,HENDERSON,00H,SG,250.36780303030304,250.36799242424243,0.9999999999990904,0.3047999999997227,-0.61,41,-4.0,1432.395,-0.61,65.98294,1.2191999999988907,-0.005577839999994925
2022-12-28,HENDERSON,00H,SG,250.3816287878788,250.38181818181815,0.9999999999990904,0.3047999999997227,-0.61,40,-4.0,1432.395,-0.61,64.3736,1.5239999999986134,-0.007437119999993233
2022-12-28,HENDERSON,00H,SG,250.36174242424244,250.36193181818183,0.9999999999990904,0.3047999999997227,-0.61,41,-3.7,1548.535135135135,-0.61,65.98294,1.828799999998336,-0.009296399999991541
2022-12-28,HENDERSON,00H,SG,250.3689393939394,250.3691287878788,0.9999999999990904,0.3047999999997227,-0.61,41,-4.0,1432.395,-0.61,65.98294,2.133599999998059,-0.01115567999998985
2022-12-28,HENDERSON,00H,SG,250.36231060606065,250.3625,0.9999999999990904,0.3047999999997227,-0.61,41,-3.7,1548.535135135135,-0.61,65.98294,2.4383999999977815,-0.013014959999988158
2022-12-28,HENDERSON,00H,SG,250.39526515151516,250.39545454545456,0.9999999999990904,0.3047999999997227,-0.61,41,-4.0,1432.395,-0.61,65.98294,2.743199999997504,-0.014874239999986466
2022-12-28,HENDERSON,00H,SG,250.36515151515152,250.36534090909092,0.9999999999990904,0.3047999999997227,-0.61,41,-3.9,1469.123076923077,-0.61,65.98294,3.0479999999972267,-0.016733519999984774
