time_seconds,speed_meters_per_second
0.0,12.96416
1.0,12.96416
2.0,12.96416
3.0,12.96416
4.0,12.96416
5.0,12.96416
6.0,12.96416
7.0,12.96416
8.0,12.96416
9.0,12.96416
10.0,12.96416
11.0,12.96416
12.0,12.96416
13.0,12.96416
14.0,12.96416
15.0,12.96416
16.0,12.96416
17.0,12.96416
18.0,12.96416
19.0,12.96416
20.0,12.96416
21.0,12.96416
22.0,12.96416
23.0,12.96416
24.0,12.96416
25.0,12.96416
26.0,12.96416
27.0,12.96416
28.0,12.96416
29.0,12.96416
30.0,12.96416
31.0,12.96416
32.0,12.96416
33.0,12.96416
34.0,12.96416
35.0,12.96416
36.0,12.96416
37.0,12.96416
38.0,12.96416
39.0,12.96416
40.0,12.96416
41.0,12.96416
42.0,12.96416
43.0,12.96416
44.0,12.96416
45.0,12.96416
46.0,12.96416
47.0,12.96416
48.0,12.96416
49.0,12.96416
50.0,12.96416
51.0,12.96416
52.0,12.96416
53.0,12.96416
54.0,12.96416
55.0,12.96416
56.0,12.96416
57.0,12.96416
58.0,12.96416
59.0,12.96416
60.0,12.96416
61.0,12.96416
62.0,12.96416
63.0,12.96416
64.0,12.96416
65.0,12.96416
66.0,12.96416
67.0,12.96416
68.0,12.96416
69.0,12.96416
70.0,12.96416
71.0,12.96416
72.0,12.96416
73.0,12.96416
74.0,12.96416
75.0,12.96416
76.0,12.96416
77.0,12.96416
78.0,12.96416
79.0,12.96416
80.0,12.96416
81.0,12.96416
82.0,12.96416
83.0,12.96416
84.0,12.96416
85.0,12.96416
86.0,12.96416
87.0,12.96416
88.0,12.96416
89.0,12.96416
90.0,12.96416
91.0,12.96416
92.0,12.96416
93.0,12.96416
94.0,12.96416
95.0,12.96416
96.0,12.96416
97.0,12.96416
98.0,12.96416
99.0,12.96416
100.0,12.96416
101.0,12.96416
102.0,12.96416
103.0,12.96416
104.0,12.96416
105.0,12.96416
106.0,12.96416
107.0,12.96416
108.0,12.96416
109.0,12.96416
110.0,12.96416
111.0,12.96416
112.0,12.96416
113.0,12.96416
114.0,12.96416
115.0,12.96416
116.0,12.96416
117.0,12.96416
118.0,12.96416
119.0,12.96416
120.0,12.96416
121.0,12.96416
122.0,12.96416
123.0,12.96416
124.0,12.96416
125.0,12.96416
126.0,12.96416
127.0,12.96416
128.0,12.96416
129.0,12.96416
130.0,12.96416
131.0,12.96416
132.0,12.96416
133.0,12.96416
134.0,12.96416
135.0,12.96416
136.0,12.96416
137.0,12.96416
138.0,12.96416
139.0,12.96416
140.0,12.96416
141.0,12.96416
142.0,12.96416
143.0,12.96416
144.0,12.96416
145.0,12.96416
146.0,12.96416
147.0,12.96416
148.0,12.96416
149.0,12.96416
150.0,12.96416
151.0,12.96416
152.0,12.96416
153.0,12.96416
154.0,12.96416
155.0,12.96416
156.0,12.96416
157.0,12.96416
158.0,12.96416
159.0,12.96416
160.0,12.96416
161.0,12.96416
162.0,12.96416
163.0,12.96416
164.0,12.96416
165.0,12.96416
166.0,12.96416
167.0,12.96416
168.0,12.96416
169.0,12.96416
170.0,12.96416
171.0,12.96416
172.0,12.96416
173.0,12.96416
174.0,12.96416
175.0,12.96416
176.0,12.96416
177.0,12.96416
178.0,12.96416
179.0,12.96416
180.0,12.96416
181.0,12.96416
182.0,12.96416
183.0,12.96416
184.0,12.96416
185.0,12.96416
186.0,12.96416
187.0,12.96416
188.0,12.96416
189.0,12.96416
190.0,12.96416
191.0,12.96416
192.0,12.96416
193.0,12.96416
194.0,12.96416
195.0,12.96416
196.0,12.96416
197.0,12.96416
198.0,12.96416
199.0,12.96416
200.0,12.96416
201.0,12.96416
202.0,12.96416
203.0,12.96416
204.0,12.96416
205.0,12.96416
206.0,12.96416
207.0,12.96416
208.0,12.96416
209.0,12.96416
210.0,12.96416
211.0,12.96416
212.0,12.96416
213.0,12.96416
214.0,12.96416
215.0,12.96416
216.0,12.96416
217.0,12.96416
218.0,12.96416
219.0,12.96416
220.0,12.96416
221.0,12.96416
222.0,12.96416
223.0,12.96416
224.0,12.96416
225.0,12.96416
226.0,12.96416
227.0,12.96416
228.0,12.96416
229.0,12.96416
230.0,12.96416
231.0,12.96416
232.0,12.96416
233.0,12.96416
234.0,12.96416
235.0,12.96416
236.0,12.96416
237.0,12.96416
238.0,12.96416
239.0,12.96416
240.0,12.96416
241.0,12.96416
242.0,12.96416
243.0,12.96416
244.0,12.96416
245.0,12.96416
246.0,12.96416
247.0,12.96416
248.0,12.96416
249.0,12.96416
250.0,12.96416
251.0,12.96416
252.0,12.96416
253.0,12.96416
254.0,12.96416
255.0,12.96416
256.0,12.96416
257.0,12.96416
258.0,12.96416
259.0,12.96416
260.0,12.96416
261.0,12.96416
262.0,12.96416
263.0,12.96416
264.0,12.96416
265.0,12.96416
266.0,12.96416
267.0,12.96416
268.0,12.96416
269.0,12.96416
270.0,12.96416
271.0,12.96416
272.0,12.96416
273.0,12.96416
274.0,12.96416
275.0,12.96416
276.0,12.96416
277.0,12.96416
278.0,12.96416
279.0,12.96416
280.0,12.96416
281.0,12.96416
282.0,12.96416
283.0,12.96416
284.0,12.96416
285.0,12.96416
286.0,12.96416
287.0,12.96416
288.0,12.96416
289.0,12.96416
290.0,12.96416
291.0,12.96416
292.0,12.96416
293.0,12.96416
294.0,12.96416
295.0,12.96416
296.0,12.96416
297.0,12.96416
298.0,12.96416
299.0,12.96416
300.0,12.96416
301.0,12.96416
302.0,12.96416
303.0,12.96416
304.0,12.96416
305.0,12.96416
306.0,12.96416
307.0,12.96416
308.0,12.96416
309.0,12.96416
310.0,12.96416
311.0,12.96416
312.0,12.96416
313.0,12.96416
314.0,12.96416
315.0,12.96416
316.0,12.96416
317.0,12.96416
318.0,12.96416
319.0,12.96416
320.0,12.96416
321.0,12.96416
322.0,12.96416
323.0,12.96416
324.0,12.96416
325.0,12.96416
326.0,12.96416
327.0,12.96416
328.0,12.96416
329.0,12.96416
330.0,12.96416
331.0,12.96416
332.0,12.96416
333.0,12.96416
334.0,12.96416
335.0,12.96416
336.0,12.96416
337.0,12.96416
338.0,12.96416
339.0,12.96416
340.0,12.96416
341.0,12.96416
342.0,12.96416
343.0,12.96416
344.0,12.96416
345.0,12.96416
346.0,12.96416
347.0,12.96416
348.0,12.96416
349.0,12.96416
350.0,12.96416
351.0,12.96416
352.0,12.96416
353.0,12.96416
354.0,12.96416
355.0,12.96416
356.0,12.96416
357.0,12.96416
358.0,12.96416
359.0,12.96416
360.0,12.96416
361.0,12.96416
362.0,12.96416
363.0,12.96416
364.0,12.96416
365.0,12.96416
366.0,12.96416
367.0,12.96416
368.0,12.96416
369.0,12.96416
370.0,12.96416
371.0,12.96416
372.0,12.96416
373.0,12.96416
374.0,12.96416
375.0,12.96416
376.0,12.96416
377.0,12.96416
378.0,12.96416
379.0,12.96416
380.0,12.96416
381.0,12.96416
382.0,12.96416
383.0,12.96416
384.0,12.96416
385.0,12.96416
386.0,12.96416
387.0,12.96416
388.0,12.96416
389.0,12.96416
390.0,12.96416
391.0,12.96416
392.0,12.96416
393.0,12.96416
394.0,12.96416
395.0,12.96416
396.0,12.96416
397.0,12.96416
398.0,12.96416
399.0,12.96416
400.0,12.96416
401.0,12.96416
402.0,12.96416
403.0,12.96416
404.0,12.96416
405.0,12.96416
406.0,12.96416
407.0,12.96416
408.0,12.96416
409.0,12.96416
410.0,12.96416
411.0,12.96416
412.0,12.96416
413.0,12.96416
414.0,12.96416
415.0,12.96416
416.0,12.96416
417.0,12.96416
418.0,12.96416
419.0,12.96416
420.0,12.96416
421.0,12.96416
422.0,12.96416
423.0,12.96416
424.0,12.96416
425.0,12.96416
426.0,12.96416
427.0,12.96416
428.0,12.96416
429.0,12.96416
430.0,12.96416
431.0,12.96416
432.0,12.96416
433.0,12.96416
434.0,12.96416
435.0,12.96416
436.0,12.96416
437.0,12.96416
438.0,12.96416
439.0,12.96416
440.0,12.96416
441.0,12.96416
442.0,12.96416
443.0,12.96416
444.0,12.96416
445.0,12.96416
446.0,12.96416
447.0,12.96416
448.0,12.96416
449.0,12.96416
450.0,12.96416
451.0,12.96416
452.0,12.96416
453.0,12.96416
454.0,12.96416
455.0,12.96416
456.0,12.96416
457.0,12.96416
458.0,12.96416
459.0,12.96416
460.0,12.96416
461.0,12.96416
462.0,12.96416
463.0,12.96416
464.0,12.96416
465.0,12.96416
466.0,12.96416
467.0,12.96416
468.0,12.96416
469.0,12.96416
470.0,12.96416
471.0,12.96416
472.0,12.96416
473.0,12.96416
474.0,12.96416
475.0,12.96416
476.0,12.96416
477.0,12.96416
478.0,12.96416
479.0,12.96416
480.0,12.96416
481.0,12.96416
482.0,12.96416
483.0,12.96416
484.0,12.96416
485.0,12.96416
486.0,12.96416
487.0,12.96416
488.0,12.96416
489.0,12.96416
490.0,12.96416
491.0,12.96416
492.0,12.96416
493.0,12.96416
494.0,12.96416
495.0,12.96416
496.0,12.96416
497.0,12.96416
498.0,12.96416
499.0,12.96416
500.0,12.96416
501.0,12.96416
502.0,12.96416
503.0,12.96416
504.0,12.96416
505.0,12.96416
506.0,12.96416
507.0,12.96416
508.0,12.96416
509.0,12.96416
510.0,12.96416
511.0,12.96416
512.0,12.96416
513.0,12.96416
514.0,12.96416
515.0,12.96416
516.0,12.96416
517.0,12.96416
518.0,12.96416
519.0,12.96416
520.0,12.96416
521.0,12.96416
522.0,12.96416
523.0,12.96416
524.0,12.96416
525.0,12.96416
526.0,12.96416
527.0,12.96416
528.0,12.96416
529.0,12.96416
530.0,12.96416
531.0,12.96416
532.0,12.96416
533.0,12.96416
