milepost,peak_loco_kN,peak_air_kN,total_peak_kN
176.925,738.1889763779528,794.5390999469375,1532.7280763248905
176.97500000000002,738.1889763779528,1064.3623973169445,1802.5513736948974
177.02500000000003,738.1889763779528,1390.1795717687246,2128.3685481466773
177.07500000000005,738.1889763779528,1604.1441230637076,2342.3330994416606
177.12500000000006,738.1889763779528,1696.9154591958036,2435.1044355737563
177.17500000000007,738.1889763779528,1725.6593031370785,2463.848279515031
177.22500000000008,738.1889763779528,1732.2305157065518,2470.419492084505
177.2750000000001,738.1889763779528,1733.323640767826,2471.5126171457787
177.3250000000001,738.1889763779528,1733.4446585475512,2471.633634925504
177.3750000000001,738.1889763779528,1733.4536849745205,2471.642661352473
177.42500000000013,738.1889763779528,1733.4536849745205,2471.642661352473
177.47500000000014,738.1889763779528,1733.4536849745205,2471.642661352473
177.52500000000015,738.1852006051107,1733.4536849745205,2471.6388855796313
177.57500000000016,738.141688049439,1733.4536849745205,2471.5953730239594
177.62500000000017,737.8201713345734,1733.4536849745205,2471.273856309094
177.67500000000018,736.2956723703519,1733.4536849745205,2469.7493573448724
177.7250000000002,731.6452663649845,1733.4536849745205,2465.098951339505
177.7750000000002,722.4139967110856,1733.4536849745205,2455.867681685606
177.82500000000022,709.7749790776965,1733.4536849745205,2443.228664052217
177.87500000000023,694.6975946762749,1733.4527617267113,2428.1503564029863
177.92500000000024,671.503616372187,1733.437492503436,2404.9411088756233
177.97500000000025,629.8970811367402,1733.3018160395563,2363.1988971762967
178.02500000000026,567.3708657103001,1732.487740252717,2299.858605963017
178.07500000000027,494.4622349316111,1729.1153939738424,2223.5776289054534
178.12500000000028,421.9363635901202,1719.2974378871183,2141.2338014772386
178.1750000000003,348.91298141542273,1698.69371603182,2047.6066974472428
178.2250000000003,272.17237877064,1666.1710673861633,1938.3434461568033
178.27500000000032,202.28895149463958,1624.9652075206695,1827.2541590153091
178.32500000000033,160.99376560833142,1579.5720261791498,1740.5657917874812
178.37500000000034,161.65189197334297,1532.829267456776,1694.481159430119
178.42500000000035,197.6352937604152,1485.7640554755883,1683.3993492360034
178.47500000000036,251.08244576873824,1438.2474322378753,1689.3298780066134
178.52500000000038,307.79633849685166,1387.8395331173397,1695.6358716141913
178.5750000000004,362.3220696184838,1325.8642972429843,1688.186366861468
178.6250000000004,414.4569504981286,1235.4394929617292,1649.896443459858
178.6750000000004,464.91206156222734,1101.1841910419369,1566.0962526041642
178.72500000000042,512.4809767847776,926.2625692043607,1438.7435459891383
178.77500000000043,553.2117774785384,734.8073114222149,1288.019088900753
178.82500000000044,582.2837288931769,556.6587078892784,1138.9424367824554
178.87500000000045,596.6923809300202,414.89628863628076,1011.588669566301
178.92500000000047,596.4562147792152,321.22029031594485,917.6765050951601
178.97500000000048,584.1108671623163,272.5519625166796,856.6628296789959
179.0250000000005,563.270202419301,253.77652618832462,817.0467286076256
179.0750000000005,537.2568004378403,248.6449242511914,785.9017246890317
179.1250000000005,509.3586573950895,247.68488859921962,757.0435459943092
179.17500000000052,485.65098234391655,247.56496726550182,733.2159496094184
179.22500000000053,477.9096810169742,247.5496492216223,725.4593302385965
179.27500000000055,499.17416081126265,247.50377640435747,746.6779372156201
179.32500000000056,550.4351325156465,247.28644393872966,797.7215764543762
179.37500000000057,614.1089158793478,246.62624620160585,860.7351620809536
179.42500000000058,666.7075422037329,245.34035659518256,912.0478987989155
179.4750000000006,696.9965224538115,243.73447481453985,940.7309972683513
179.5250000000006,709.1754793762756,242.44858520811658,951.6240645843922
179.5750000000006,712.5490842675391,241.78838747099277,954.3374717385319
179.62500000000063,713.1818423839779,241.57105500536497,954.7528973893429
179.67500000000064,713.2604981985652,241.52518218810013,954.7856803866653
179.72500000000065,713.266422053241,241.51897397738273,954.7853960306237
179.77500000000066,713.266422053241,241.51843526406049,954.7848573173014
179.82500000000067,713.266422053241,241.51843526406049,954.7848573173014
179.87500000000068,713.266422053241,241.51843526406049,954.7848573173014
179.9250000000007,713.266422053241,241.51843526406049,954.7848573173014
179.9750000000007,713.266422053241,241.5055210890212,954.7719431422621
180.02500000000072,713.266422053241,241.34806189878626,954.6144839520272
180.07500000000073,713.266422053241,240.14888326707,953.415305320311
180.12500000000074,713.266422053241,234.2036955568392,947.4701176100801
180.17500000000075,713.266422053241,214.8939161452891,928.1603381985301
180.22500000000076,713.266422053241,173.48675940346888,886.7531814567099
180.27500000000077,713.266422053241,114.38024001555323,827.6466620687942
180.32500000000078,713.266422053241,57.81590392082708,771.082325974068
180.3750000000008,713.266422053241,21.379566920763427,734.6459889740044
180.4250000000008,713.266422053241,5.588138222249335,718.8545602754903
180.47500000000082,713.266422053241,1.0051146167741893,714.2715366700152
180.52500000000083,713.266422053241,0.12105212920060808,713.3874741824416
180.57500000000084,713.2664221038028,0.008634357850148988,713.275056461653
180.62500000000085,713.2648704800106,0.0,713.2648704800106
180.67500000000086,713.2469869321977,0.0,713.2469869321977
180.72500000000088,713.1148329789089,0.0,713.1148329789089
180.7750000000009,712.4886901577438,0.0,712.4886901577438
180.8250000000009,710.5865686721662,0.0,710.5865686721662
180.8750000000009,706.8816575566855,0.0,706.8816575566855
180.92500000000092,702.2547159599416,0.0,702.2547159599416
180.97500000000093,698.5497160859119,0.0,698.5497160859119
181.02500000000094,696.647494309343,0.0,696.647494309343
181.07500000000095,696.021293829805,0.0,696.021293829805
181.12500000000097,695.8891200611315,0.0,695.8891200611315
181.17500000000098,695.8712322584162,0.0,695.8712322584162
181.225000000001,695.8696800519423,0.0,695.8696800519423
181.275000000001,695.8696800519423,0.0,695.8696800519423
181.325000000001,695.8696800519423,0.0,695.8696800519423
181.37500000000102,695.8696800519423,0.0,695.8696800519423
181.42500000000103,695.8696800519423,0.0,695.8696800519423
181.47500000000105,695.8696800519423,0.00403903193686323,695.8737190838791
181.52500000000106,695.8696800519423,0.051969745074565116,695.9216497970168
181.57500000000107,695.8696800519423,0.41185676587382486,696.2815368178161
181.62500000000108,695.8696800519423,2.159197050643125,698.0288771025854
181.6750000000011,695.8696800519423,7.671127839896304,703.5408078918385
181.7250000000011,695.8696800519423,19.055219464915456,714.9248995168577
181.7750000000011,695.8696800519423,34.77272908111704,730.6424091330593
181.82500000000113,695.8696800519423,50.51669829179152,746.3863783437338
181.87500000000114,695.8696800519423,65.89713657875123,761.7668166306935
