milepost,peak_loco_kN_10ft,peak_air_kN_10ft
176.90094696969697,22.82136383242282,0.0
176.9028409090909,22.882383859501843,0.0
176.90473484848485,22.99768483596174,0.0
176.9066287878788,23.155012334024345,0.0
176.90852272727273,23.33873710599737,0.0
176.91041666666666,23.532396219856512,0.0
176.9123106060606,23.72106716789107,0.0
176.91420454545454,23.893115728793617,0.0
176.91609848484848,24.041074748789786,0.0
176.9179924242424,24.16165488661179,0.0
176.91988636363635,24.255083731969883,0.0
176.9217803030303,24.32407092217631,0.0
176.92367424242423,24.37269807530479,6.317456466970859e-05
176.92556818181816,24.405459950878424,0.00020098812538160048
176.9274621212121,24.42657856091061,0.0004898364616565797
176.92935606060604,24.43961328912976,0.001071505580878662
176.93124999999998,24.447321305586858,0.0021969145339079277
176.93314393939391,24.4516904726772,0.004288968795238964
176.93503787878785,24.454065348776332,0.008027633553757673
176.9369318181818,24.455365807605364,0.014444220530829114
176.93882575757573,24.45601159634805,0.025025506301236018
176.94071969696967,24.45631971114367,0.0417913196778198
176.9426136363636,24.456460952818155,0.06731651211701026
176.94450757575754,24.456460952818155,0.10465915464601
176.94640151515148,24.456460952818155,0.15715275373282783
176.94829545454542,24.456460952818155,0.2280623529547643
176.95018939393935,24.456460952818155,0.3201119493471231
176.9520833333333,24.456460952818155,0.434949645464781
176.95397727272723,24.456460952818155,0.5726482367798986
176.95587121212117,24.456460952818155,0.7313611277643314
176.9577651515151,24.456460952818155,0.9072316562441815
176.95965909090904,24.456460952818155,1.0946312180876112
176.96155303030298,24.456460952818155,1.28670517075737
176.96344696969692,24.456460952818155,1.4761465896310215
176.96534090909086,24.456460952818155,1.6560529448453214
176.9672348484848,24.456460952818155,1.8207021894631095
176.96912878787873,24.456460952818155,1.9660968410750783
176.97102272727267,24.456460952818155,2.09020617020981
176.9729166666666,24.456460952818155,2.19288661081799
176.97481060606054,24.456460952818155,2.275547390705291
176.97670454545448,24.456460952818155,2.340665972062707
176.97859848484842,24.456460952818155,2.391271221324736
176.98049242424236,24.456460952818155,2.4304824453950147
176.9823863636363,24.456460952818155,2.4611766694893125
176.98428030303023,24.456460952818155,2.485790429493489
176.98617424242417,24.456460952818155,2.5062466767409886
176.9880681818181,24.456460952818155,2.523972696975654
176.98996212121205,24.456460952818155,2.539973165731179
176.99185606060598,24.456460952818155,2.5549181490060886
176.99374999999992,24.456460952818155,2.5692362719029376
176.99564393939386,24.456460952818155,2.5831898163238387
176.9975378787878,24.456460952818155,2.596932527648949
176.99943181818173,24.456460952818155,2.6105502100979603
177.00132575757567,24.456460952818155,2.6240615680642345
177.0032196969696,24.456460952818155,2.6375306728491164
177.00511363636355,24.456460952818155,2.650955679979163
177.00700757575748,24.456460952818155,2.664331978408596
177.00890151515142,24.456460952818155,2.6776531325006463
177.01079545454536,24.456460952818155,2.6909117276205734
177.0126893939393,24.456460952818155,2.7040996719696393
177.01458333333323,24.456460952818155,2.717210888016399
177.01647727272717,24.456460952818155,2.7302382415615947
177.0183712121211,24.456460952818155,2.743175202652364
177.02026515151505,24.456460952818155,2.756015232106289
177.02215909090899,24.456460952818155,2.768749610733369
177.02405303030292,24.456460952818155,2.781368895077221
177.02594696969686,24.456460952818155,2.7938558987047273
177.0278409090908,24.456460952818155,2.806184439156157
177.02973484848474,24.456460952818155,2.8183159630583416
177.03162878787867,24.456460952818155,2.830196885679518
177.0335227272726,24.456460952818155,2.8417564803968203
177.03541666666655,24.456460952818155,2.852911406489994
177.0373106060605,24.456460952818155,2.8635652278388792
177.03920454545442,24.456460952818155,2.873616860979694
177.04109848484836,24.456460952818155,2.882968860574707
177.0429924242423,24.456460952818155,2.891536384982571
177.04488636363624,24.456460952818155,2.899254297762071
177.04678030303018,24.456460952818155,2.906086337096926
177.0486742424241,24.456460952818155,2.9120234022914766
177.05056818181805,24.456460952818155,2.9170848693661005
177.052462121212,24.456460952818155,2.9213151401716044
177.05435606060593,24.456460952818155,2.9247785196888847
177.05624999999986,24.456460952818155,2.9275524642654167
177.0581439393938,24.456460952818155,2.9297251381497613
177.06003787878774,24.456460952818155,2.931386006690218
177.06193181818168,24.456460952818155,2.9326232454511656
177.06382575757561,24.456460952818155,2.933519935334742
177.06571969696955,24.456460952818155,2.934151168329008
177.0676136363635,24.456460952818155,2.934581228145053
177.06950757575743,24.456460952818155,2.9348657427630855
177.07140151515136,24.456460952818155,2.935047727292564
177.0732954545453,24.456460952818155,2.9351601506214764
177.07518939393924,24.456460952818155,2.9352271648650454
177.07708333333318,24.456460952818155,2.935265679151586
177.07897727272712,24.456460952818155,2.935286132423151
177.08087121212105,24.456460952818155,2.9352971351468202
177.082765151515,24.456460952818155,2.935302821919232
177.08465909090893,24.456460952818155,2.9353056458868374
177.08655303030287,24.456460952818155,2.935306993241079
177.0884469696968,24.456460952818155,2.9353076108763623
177.09034090909074,24.456460952818155,2.9353076108763623
177.09223484848468,24.456460952818155,2.9353076108763623
177.09412878787862,24.456460952818155,2.9353076108763623
177.09602272727255,24.456460952818155,2.9353076108763623
177.0979166666665,24.456460952818155,2.9353076108763623
177.09981060606043,24.456460952818155,2.9353076108763623
177.10170454545437,24.456460952818155,2.9353076108763623
177.1035984848483,24.456460952818155,2.9353076108763623
177.10549242424224,24.456460952818155,2.9353076108763623
177.10738636363618,24.456460952818155,2.9353076108763623
177.10928030303012,24.456460952818155,2.9353076108763623
177.11117424242406,24.456460952818155,2.9353076108763623
177.113068181818,24.456460952818155,2.9353076108763623
177.11496212121193,24.456460952818155,2.9353076108763623
177.11685606060587,24.456460952818155,2.9353076108763623
177.1187499999998,24.456460952818155,2.9353076108763623
177.12064393939374,24.456460952818155,2.9353076108763623
177.12253787878768,24.456460952818155,2.9353076108763623
177.12443181818162,24.456460952818155,2.9353076108763623
177.12632575757556,24.456460952818155,2.9353076108763623
177.1282196969695,24.456460952818155,2.9353076108763623
177.13011363636343,24.456460952818155,2.9353076108763623
177.13200757575737,24.456460952818155,2.9353076108763623
177.1339015151513,24.456460952818155,2.9353076108763623
177.13579545454525,24.456460952818155,2.9353076108763623
177.13768939393918,24.456460952818155,2.9353076108763623
177.13958333333312,24.456460952818155,2.9353076108763623
177.14147727272706,24.456460952818155,2.9353076108763623
177.143371212121,24.456460952818155,2.9353076108763623
