milepost,loco_shear_kNs,car_shear_kNs,total_shear_kNs,total_vert_GNs
176.925,4057.048841713606,0.0,4057.048841713606,2.0950951121098673
176.97500000000002,6008.365659834057,126.83827524490685,6135.203935078964,1.6288101083549267
177.02500000000003,6453.263951194449,409.69353980170865,6862.9574909961575,1.4266415182363485
177.07500000000005,6453.263953934528,799.4275312345688,7252.691485169097,1.2633925844418823
177.12500000000006,6453.263953934529,1127.308757315583,7580.572711250112,1.18079083345374
177.17500000000007,6453.263953934528,1540.2296079312553,7993.493561865784,1.1094066042047286
177.22500000000008,6105.329113908558,1870.8206480433557,7976.149761951913,1.0659794532165865
177.2750000000001,6453.263953934529,2271.411270625897,8724.675224560426,1.0537074811104314
177.3250000000001,6453.263953934528,2585.033066220775,9038.297020155303,1.0192263489463997
177.3750000000001,6453.263953934529,2953.8237220078167,9407.087675942346,1.013900858827823
177.42500000000013,6453.263953934528,3261.7555800511536,9715.019533985682,1.0014086187092461
177.47500000000014,6105.329113908558,3609.6350589538856,9714.964172862443,1.0026815922270327
177.52500000000015,6453.263953934529,3901.364945548692,10354.628899483221,1.0155155021084554
177.57500000000016,6453.263953934528,4217.007439526595,10670.271393461124,1.0176531067755277
177.62500000000017,6453.263953934529,4442.3789349096405,10895.64288884417,1.027195284358814
177.67500000000018,6453.224850641947,4670.83874971372,11124.063600355668,1.041812055109802
177.7250000000002,6091.289379993888,4818.4606729858715,10909.75005297976,1.0521355291216596
177.7750000000002,6168.009716824167,4961.698610482676,11129.708327306842,1.0832254057550006
177.82500000000022,5506.040436748572,5053.326941695867,10559.36737844444,1.093536461090969
177.87500000000023,4442.346728014528,5151.884580318699,9594.231308333226,1.1145608604460762
177.92500000000024,4101.58039488878,5250.604047459983,9352.184442348764,1.144594970327499
177.97500000000025,3196.7240792230587,5348.554315186431,8545.27839440949,1.1656338936758899
178.02500000000026,2826.5504238561266,5434.977718484829,8261.528142340956,1.1885788245059294
