time_seconds,dt_seconds,total_dist_meters,speed_meters_per_second,speed_limit_meters_per_second,res_grade_newtons,res_curve_newtons,res_rolling_newtons,res_bearing_newtons,res_aero_newtons,res_davis_b_newtons,pwr_whl_out_watts,mass_static_kilograms,mass_freight_kilograms,mp,speed_mps,accel_ms2,mass_kg,F_resistance_N,F_net_required_N,F_dynamic_braking_N,F_needed_N,F_braking_total_N,F_air_braking_N
2573.0,1.0,50008.60508957787,10.225311931750348,0.0,256522.19807530535,3821.8374666968393,3874296.5457015103,400000.0,7082350.5268424265,15359955.24120083,-3300000.0,14615000.0,1015000000.0,252.9946530319399,10.225311931750348,0.0,14615000.0,26976946.34928677,26976946.34928677,322728.54090184346,-26976946.34928677,0.0,0.0
2574.0,1.0,50018.135628441174,8.835765794856725,0.0,259502.2728489257,3821.8374666968393,3874296.5457015103,400000.0,5234724.82809948,13205296.898633556,-3300000.0,14615000.0,1015000000.0,252.98873101492464,8.835765794856725,-1.3895461368936228,14615000.0,22977642.38275017,2669425.5920498706,373482.0587844147,-2669425.5920498706,0.0,0.0
2575.0,1.0,50026.40730971725,7.707596757276054,0.0,261921.82678397512,3821.8374666968393,3874296.5457015103,400000.0,3908671.011362691,11410792.299213616,-3300000.0,14615000.0,1015000000.0,252.98359121769343,7.707596757276054,-1.1281690375806708,14615000.0,19859503.520528488,3371313.0362869836,428149.02023575176,-3371313.0362869836,0.0,0.0
2576.0,1.0,50033.660927833786,6.799639475802809,0.0,264021.7897837638,3821.8374666968393,3874296.5457015103,400000.0,2974258.402029676,9953838.497458223,-3300000.0,14615000.0,1015000000.0,252.97908401715375,6.799639475802809,-0.9079572814732453,14615000.0,17470237.07243987,4200441.403708393,485319.8484630512,-4200441.403708393,0.0,0.0
2577.0,1.0,50040.09445393377,6.067412724165416,0.0,265863.2932400685,3821.8374666968393,3874296.5457015103,400000.0,2314794.807672603,8781273.244372787,-3300000.0,14615000.0,1015000000.0,252.9750863994347,6.067412724165416,-0.732226751637393,14615000.0,15640049.728453666,4938555.753273167,543889.1583650956,-4938555.753273167,0.0,0.0
2578.0,1.0,50045.86533758302,5.4743545743304844,0.0,267499.03975238494,3821.8374666968393,3874296.5457015103,400000.0,1843095.345706842,7835652.052859792,-3300000.0,14615000.0,1015000000.0,252.97150052966867,5.4743545743304844,-0.5930581498349312,14615000.0,14224364.821487226,5556819.961649707,602810.7889601928,-5556819.961649707,0.0,0.0
2579.0,1.0,50051.0993931508,4.993756561223325,0.0,269113.37151715124,3821.8374666968393,3874296.5457015103,400000.0,1500398.3329635155,7069757.672424594,-3300000.0,14615000.0,1015000000.0,252.96824823023675,4.993756561223325,-0.48059801310715944,14615000.0,13117387.760073468,6093447.798512333,660825.1642910675,-6093447.798512333,0.0,0.0
2580.0,1.0,50055.8964577446,4.600372626387776,0.0,270703.497837746,3821.8374666968393,3874296.5457015103,400000.0,1248519.877140024,6449097.931740571,-3300000.0,14615000.0,1015000000.0,252.9652674650822,4.600372626387776,-0.39338393483554857,14615000.0,12246439.689886548,6497133.482265005,717333.1962439677,-6497133.482265005,0.0,0.0
2581.0,1.0,50060.333014461234,4.272740806873361,0.0,272595.05042424425,3821.8374666968393,3874296.5457015103,400000.0,1059562.9104917292,5941069.258451293,-3300000.0,14615000.0,1015000000.0,252.9625107096939,4.272740806873361,-0.32763181951441567,14615000.0,11551345.602535475,6763006.56033229,772337.9791003101,-6763006.56033229,0.0,0.0
2582.0,1.0,50064.468394843665,3.998019957988753,0.0,274344.44949286006,3821.8374666968393,3874296.5457015103,400000.0,914016.0527817196,5517954.982915763,-3300000.0,14615000.0,1015000000.0,252.95994109706857,3.998019957988753,-0.2747208488846078,14615000.0,10984433.868358549,6969388.661910006,825408.585919141,-6969388.661910006,0.0,0.0
2583.0,1.0,50068.35030688795,3.7658041305825263,0.0,275975.0903369809,3821.8374666968393,3874296.5457015103,400000.0,800259.1379794984,5163171.6376271555,610295.2266577631,14615000.0,1015000000.0,252.9575289827582,3.7658041305825263,-0.2322158274062267,14615000.0,10517524.249111842,7123689.931569839,0.0,-7123689.931569839,0.0,0.0
2584.0,1.0,50072.01734627868,3.568274650871603,0.0,277505.7849157889,3821.8374666968393,3874296.5457015103,400000.0,709996.4567049274,4863280.644968103,3189962.4239387307,14615000.0,1015000000.0,252.95525038445655,3.568274650871603,-0.19752947971092327,14615000.0,10128901.269757025,7242007.923781881,0.0,-7242007.923781881,0.0,0.0
2585.0,1.0,50075.50126425355,3.3995612988697705,0.0,278951.7520710527,3821.8374666968393,3874296.5457015103,400000.0,637466.3665995944,4608184.717995355,3188585.478568688,14615000.0,1015000000.0,252.95308557281024,3.3995612988697705,-0.16871335200183246,14615000.0,9802721.219834208,7336975.580327427,0.0,-7336975.580327427,0.0,0.0
2586.0,1.0,50078.82818518522,3.2542805644764106,0.0,280325.51177923614,3821.8374666968393,3874296.5457015103,400000.0,578610.7251080347,4390302.865703882,3188586.2135389023,14615000.0,1015000000.0,252.95101831484632,3.2542805644764106,-0.14528073439335998,14615000.0,9527357.485759359,7404079.552600402,0.0,-7404079.552600402,0.0,0.0
2587.0,1.0,50082.019663446685,3.1286759584437265,0.0,281637.36526178184,3821.8374666968393,3874296.5457015103,400000.0,530213.4146024408,4202682.649898158,3188586.2131465985,14615000.0,1015000000.0,252.94903521726505,3.1286759584437265,-0.12560460603268409,14615000.0,9292651.812930588,7456940.49576291,0.0,-7456940.49576291,0.0,0.0
2588.0,1.0,50085.09387174025,3.0197406286983584,0.0,282895.8117225652,3821.8374666968393,3874296.5457015103,400000.0,490074.26396856946,4040472.819472617,3188586.2131468076,14615000.0,1015000000.0,252.94712498804464,3.0197406286983584,-0.10893532974536813,14615000.0,9091561.27833196,7499471.434103404,0.0,-7499471.434103404,0.0,0.0
2589.0,1.0,50088.06621618936,2.9249482695000255,0.0,284108.016923355,3821.8374666968393,3874296.5457015103,400000.0,456541.2365308759,3899790.228893505,3188586.2131468076,14615000.0,1015000000.0,252.94527805424002,2.9249482695000255,-0.09479235919833284,14615000.0,8918557.865515944,7533167.535832309,0.0,-7533167.535832309,0.0,0.0
2590.0,1.0,50090.94978336896,2.842186089701394,0.0,285280.0557234842,3821.8374666968393,3874296.5457015103,400000.0,428328.6314089953,3777372.325626506,3188586.2131468076,14615000.0,1015000000.0,252.9434862842103,2.842186089701394,-0.08276217979863132,14615000.0,8769099.395927193,7559530.138170196,0.0,-7559530.138170196,0.0,0.0
2591.0,1.0,50093.75572269045,2.7696925532658385,0.0,286417.08835047175,3821.8374666968393,3874296.5457015103,400000.0,404432.21835588344,3670490.583190319,3188586.2131468076,14615000.0,1015000000.0,252.94174275001527,2.7696925532658385,-0.07249353643555567,14615000.0,8639458.273064882,7579965.238059236,0.0,-7579965.238059236,0.0,0.0
2592.0,1.0,50096.493569563296,2.7060011924353367,0.0,287523.51117996004,3821.8374666968393,3874296.5457015103,400000.0,384064.2231730167,3576870.097257666,3188586.2131468076,14615000.0,1015000000.0,252.94004152661134,2.7060011924353367,-0.06369136083050186,14615000.0,8526576.21477885,7595726.976241065,0.0,-7595726.976241065,0.0,0.0
2593.0,1.0,50099.17151571171,2.649891104384112,0.0,288603.0841630846,3821.8374666968393,3874296.5457015103,400000.0,366603.5732643882,3494617.024172119,3188586.2131468076,14615000.0,1015000000.0,252.9383775238845,2.649891104384112,-0.05611008805122486,14615000.0,8427942.064767798,7607893.127899148,0.0,-7607893.127899148,0.0,0.0
2594.0,1.0,50101.79675029144,2.6005780550857014,0.0,289659.03741626214,3821.8374666968393,3874296.5457015103,400000.0,351557.83468308236,3422154.650733497,3188586.2131468076,14615000.0,1015000000.0,252.93674627468934,2.6005780550857014,-0.049313049298410405,14615000.0,8341489.906001048,7620779.69050478,0.0,-7620779.69050478,0.0,0.0
2595.0,1.0,50104.375555199666,2.557031761361647,0.0,290694.20572854055,3821.8374666968393,3874296.5457015103,400000.0,338594.9786886704,3358470.1918818834,3188586.2131468076,14615000.0,1015000000.0,252.93514387562624,2.557031761361647,-0.0435462937240545,14615000.0,8265877.759467302,7629448.676690245,0.0,-7629448.676690245,0.0,0.0
2596.0,1.0,50106.913344736466,2.518547312242662,0.0,291711.06614366395,3821.8374666968393,3874296.5457015103,400000.0,327350.47198204347,3302233.106764147,3188586.2131468076,14615000.0,1015000000.0,252.93356696239672,2.518547312242662,-0.038484449118985076,14615000.0,8199413.028058061,7636962.804184094,0.0,-7636962.804184094,0.0,0.0
2597.0,1.0,50109.41491761886,2.484598452545226,0.0,292711.75359918055,3821.8374666968393,3874296.5457015103,400000.0,317571.0857473199,3252533.050669177,3188586.2131468076,14615000.0,1015000000.0,252.93201255320886,2.484598452545226,-0.033948859697435996,14615000.0,8140934.273183884,7644771.688705857,0.0,-7644771.688705857,0.0,0.0
2598.0,1.0,50111.88448260139,2.454531512521557,0.0,293698.16029925214,3821.8374666968393,3874296.5457015103,400000.0,309067.3633571846,3208690.4007170843,3188586.2131468076,14615000.0,1015000000.0,252.93047803285734,2.454531512521557,-0.03006694002366883,14615000.0,8089574.307541728,7650145.979095808,0.0,-7650145.979095808,0.0,0.0
2599.0,1.0,50114.325737905085,2.4279790948691615,0.0,294671.9458172257,3821.8374666968393,3874296.5457015103,400000.0,301632.372963265,3169860.9867592463,3188586.2131468076,14615000.0,1015000000.0,252.9289611033684,2.4279790948691615,-0.026552417652395466,14615000.0,8044283.688707944,7656220.104718184,0.0,-7656220.104718184,0.0,0.0
2600.0,1.0,50116.74197209121,2.404489277373015,0.0,295634.5684156318,3821.8374666968393,3874296.5457015103,400000.0,295141.72592948034,3135570.3400956797,3188586.2131468076,14615000.0,1015000000.0,252.9274597213198,2.404489277373015,-0.023489817496146426,14615000.0,8004465.017608998,7661161.334902818,0.0,-7661161.334902818,0.0,0.0
2601.0,1.0,50119.136059484576,2.3836855093670426,0.0,296587.3248221745,3821.8374666968393,3874296.5457015103,400000.0,289458.572391129,3105234.8338341867,3188586.2131468076,14615000.0,1015000000.0,252.9259721006844,2.3836855093670426,-0.0208037680059725,14615000.0,7969399.114215698,7665352.04480841,0.0,-7665352.04480841,0.0,0.0
2602.0,1.0,50121.5105805454,2.365356612282869,0.0,297531.34842508315,3821.8374666968393,3874296.5457015103,400000.0,284471.4190252683,3078368.178326482,3188586.2131468076,14615000.0,1015000000.0,252.9244966380346,2.365356612282869,-0.018328897084173512,14615000.0,7938489.328945041,7670612.498059845,0.0,-7670612.498059845,0.0,0.0
2603.0,1.0,50123.86781527132,2.349112839554312,0.0,298467.65673748305,3821.8374666968393,3874296.5457015103,400000.0,280113.46062115446,3054697.6507732384,3188586.2131468076,14615000.0,1015000000.0,252.92303191664203,2.349112839554312,-0.016243772728556927,14615000.0,7911397.151300083,7673994.412872223,0.0,-7673994.412872223,0.0,0.0
2604.0,1.0,50126.20976475961,2.3347861370212546,0.0,299397.1487957207,3821.8374666968393,3874296.5457015103,400000.0,276279.38691993814,3033719.919916102,3188586.2131468076,14615000.0,1015000000.0,252.9215766930794,2.3347861370212546,-0.014326702533057567,14615000.0,7887514.838799968,7678130.081279332,0.0,-7678130.081279332,0.0,0.0
2605.0,1.0,50128.53823833905,2.3221610218648783,0.0,300320.6136616613,3821.8374666968393,3874296.5457015103,400000.0,272919.7334109265,3015217.9552043956,3188586.2131468076,14615000.0,1015000000.0,252.9201298430791,2.3221610218648783,-0.012625115156376321,14615000.0,7866576.68544519,7682060.62743475,0.0,-7682060.62743475,0.0,0.0
