dist_bin,dist_nb_nb,res_grade_newtons_nb,res_curve_newtons_nb,res_total_nb,te_newtons_nb,dist_nb_sb,res_grade_newtons_sb,res_curve_newtons_sb,res_total_sb,te_newtons_sb
50020.0,50023.1471797563,-82141.74377404222,2137.8341498175064,68804.55698777095,348038.16344685614,50028.91175967106,15098.044550328774,1270.304317563429,170134.21459732787,257533.47927429772
50040.0,50041.4758197563,-82046.87188394812,1640.4667185601766,73359.46056404772,160758.72524101756,50047.240399671064,20956.676578127368,1787.27813667717,176509.8204442402,263909.08512121
50130.0,50133.88263791082,-81744.91444799265,37.93112069622707,73425.71386204794,339669.83560078364,50139.41525792086,50088.82781941864,2218.7271561330017,211305.30945713597,-360092.1835990013
50150.0,50152.43479791082,-81744.91444799244,32.396264012096836,77133.15157937535,-360092.1835990013,50157.974027913064,55994.04585231176,2219.7367071284916,217059.45232279593,327494.9273265659
50170.0,50170.76343791082,-81744.91444799225,27.968099141807155,72048.91938058523,159448.18405755505,50176.75631790527,61897.18568041015,2220.2492383907315,222963.10468215658,312494.05874149146
50280.0,50282.82277242192,-81744.91444799205,25.77646708630718,77126.53178244995,-359188.2525783022,50288.93620924732,81919.1380644724,957.2103148399874,240960.63490340434,-37587.71783271541
50300.0,50301.391951444806,-81744.91444799189,22.539286612796097,72561.96323907637,339863.1448709155,50307.52999018054,81822.09742882916,436.0692087276641,236024.0323669925,340867.78633762145
50410.0,50413.091721942066,-81744.91444799244,15.314596655076858,77116.06991201833,-360092.1835990013,50418.56088277078,81744.91444801672,26.45510517488321,236553.4851674537,-379664.0660129613
50430.0,50431.083861371146,-81744.9144479926,15.346680643087142,72036.29796208614,-373818.2488337185,50436.46224807287,81744.91444800554,26.37354287843276,235537.15372031962,346222.57954839175
50520.0,50522.92415573422,-81744.91444799282,11.30399569995164,72577.43026322393,108388.49230717386,50529.91593031629,81744.91444800144,21.290913449246524,240611.87512480636,-360092.1835990013
50540.0,50541.48423908578,-81744.91444799288,11.901439905505798,72210.82934270917,339775.4463187298,50548.468090316295,81744.91444800406,19.847328911615456,235494.50460260894,339666.38615452376
50660.0,50669.412737303406,-81744.91444799287,6.320546524908121,57522.289225087705,339644.34246480995,50660.077793311415,81744.91444798655,16.261199216539328,235527.04137663875,341928.46927836747
