fric_brake.history.i,fric_brake.history.force_newtons,fric_brake.history.force_max_curr_newtons,history.time_seconds,history.i,history.offset_meters,history.offset_back_meters,history.total_dist_meters,history.link_idx_front,history.link_idx_back,history.offset_in_link_meters,history.speed_meters_per_second,history.speed_limit_meters_per_second,history.speed_target_meters_per_second,history.dt_seconds,history.length_meters,history.mass_static_kilograms,history.mass_rot_kilograms,history.mass_freight_kilograms,history.weight_static_newtons,history.res_rolling_newtons,history.res_bearing_newtons,history.res_davis_b_newtons,history.res_aero_newtons,history.res_grade_newtons,history.res_curve_newtons,history.grade_front,history.grade_back,history.elev_front_meters,history.elev_back_meters,history.pwr_res_watts,history.pwr_accel_watts,history.pwr_whl_out_watts,history.energy_whl_out_joules,history.energy_whl_out_pos_joules,history.energy_whl_out_neg_joules
0,0.0,12715254.816060832,0.0,0,2000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,2000.0,13752700.0,400000.0,9972700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,12715254.816060832,1.0,1,2000.0883931067574,0.0,0.08839310675748516,1,1,2000.0,0.17678621351497031,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14743.771851839525,221159.75146253686,471807.0466287528,471807.0466287528,471807.0466287528,0.0
2,0.0,12715254.816060832,2.0,2,2000.353571074448,0.08839310675739398,0.3535710744480135,1,1,2000.0883931067574,0.35356972186608643,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,38.285372478976825,0.0,0.0,0.0,0.0,0.0,0.0,44241.2423851546,663465.7177873274,943606.8737162114,1415413.9203449641,1415413.9203449641,0.0
3,0.0,12715254.816060832,3.0,3,2000.7955284928266,0.35357107444792746,0.7955284928266647,1,1,2000.353571074448,0.5303451148912159,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,153.1391465700656,0.0,0.0,0.0,0.0,0.0,0.0,73785.18660909592,1105710.7715598487,1415385.042621677,2830798.9629666414,2830798.9629666414,0.0
4,0.0,12715254.816060832,4.0,4,2001.4142545418588,0.7955284928266337,1.4142545418589183,1,1,2000.7955284928266,0.7071069831732916,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,344.5507775889969,0.0,0.0,0.0,0.0,0.0,0.0,103415.29909039281,1547840.7805668858,1887127.1166928806,4717926.079659522,4717926.079659522,0.0
5,0.0,12715254.816060832,5.0,5,2002.2097329927967,1.4142545418587815,2.2097329927967846,1,1,2001.4142545418588,0.8838499187024412,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,612.5003499242312,0.0,0.0,0.0,0.0,0.0,0.0,133171.25138175272,1989801.6384812258,2358818.663033075,7076744.742692597,7076744.742692597,0.0
6,0.0,12715254.816060832,6.0,6,2003.1819422099168,2.2097329927967166,3.181942209916906,1,1,2002.2097329927967,1.0605685155378015,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,956.9585815181321,0.0,0.0,0.0,0.0,0.0,0.0,163092.67971855687,2431539.278931624,2830445.2542672846,9907189.996959882,9907189.996959882,0.0
7,0.0,12715254.816060832,7.0,7,2004.33085515292,3.1819422099167696,4.330855152920227,1,1,2003.1819422099168,1.2372573704688419,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,1377.8868307838186,0.0,0.0,0.0,0.0,0.0,0.0,193219.1727308873,2872999.6895563765,3301992.4703072454,13209182.467267128,13209182.467267128,0.0
8,0.0,12715254.816060832,8.0,8,2005.6564393799924,4.330855152920094,5.656439379992663,1,1,2004.33085515292,1.4139110836760296,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,1875.2371059548545,0.0,0.0,0.0,0.0,0.0,0.0,223590.25917669406,3314128.926034221,3773445.9001145875,16982628.367381714,16982628.367381714,0.0
9,0.0,12715254.816060832,9.0,9,2007.1586570515258,5.656439379992435,7.158657051526008,1,1,2005.6564393799924,1.5905242593906606,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,2448.952076863857,0.0,0.0,0.0,0.0,0.0,0.0,254245.39570189998,3754873.126086294,4244791.143461795,21227419.510843508,21227419.510843508,0.0
10,0.0,12715254.816060832,10.0,10,2008.837464934498,7.158657051525779,8.837464934498183,1,1,2007.1586570515258,1.7670915065536879,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,3098.9650891450065,0.0,0.0,0.0,0.0,0.0,0.0,285223.954633219,4195178.52344292,4716013.8126904825,25943433.32353399,25943433.32353399,0.0
11,0.0,12715254.816060832,11.0,11,2010.6928144075116,8.83746493449803,10.692814407511715,1,1,2008.837464934498,1.9436074394733758,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,3825.2001808543732,0.0,0.0,0.0,0.0,0.0,0.0,316565.211809445,4634991.461769072,5187099.534466545,31130532.858000536,31130532.858000536,0.0
12,0.0,12715254.816060832,12.0,12,2012.7246514664891,10.692814407511605,12.724651466489208,1,1,2010.6928144075116,2.1200666784816087,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,4627.5721015009085,0.0,0.0,0.0,0.0,0.0,0.0,348308.33445694024,5074258.408542188,5658033.951531718,36788566.809532255,36788566.809532255,0.0
13,0.0,12715254.816060832,13.0,13,2014.9329167310243,12.72465146648915,14.932916731024356,1,1,2012.7246514664891,2.2964638505886867,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,5505.986333479849,0.0,0.0,0.0,0.0,0.0,0.0,380492.36911502265,5512925.968876387,6128802.724451087,42917369.53398334,42917369.53398334,0.0
14,0.0,12715254.816060832,14.0,14,2017.3175454513869,14.932916731024307,17.317545451386916,1,1,2014.9329167310243,2.472793590136435,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,6460.339115899257,0.0,0.0,0.0,0.0,0.0,0.0,413156.2296169174,5950940.899286674,6599391.533356118,49516761.06733946,49516761.06733946,0.0
15,0.0,12715254.816060832,15.0,15,2019.8784675161799,17.317545451386877,19.878467516179867,1,1,2017.3175454513869,2.649050539449466,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,7490.517470789303,0.0,0.0,0.0,0.0,0.0,0.0,446338.6851318995,6388250.121387525,7069786.079682735,56586547.147022195,56586547.147022195,0.0
16,0.0,12715254.816060832,16.0,16,2022.6156074606467,19.878467516179853,22.615607460646807,1,1,2019.8784675161799,2.825229349484416,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,8596.399231682944,0.0,0.0,0.0,0.0,0.0,0.0,480078.3482742147,6824800.735519153,7539972.087904009,64126519.2349262,64126519.2349262,0.0
17,0.0,12715254.816060832,17.0,17,2025.5288844756274,22.615607460646743,25.528884475627514,1,1,2022.6156074606467,3.0013246804770013,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,9777.853074555465,0.0,0.0,0.0,0.0,0.0,0.0,514413.66328431526,7260540.034296194,8009935.307257021,72136454.54218322,72136454.54218322,0.0
18,0.0,12715254.816060832,18.0,18,2028.6182124171592,25.528884475627365,28.618212417159373,1,1,2025.5288844756274,3.1773312025867195,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,11034.738551109458,0.0,0.0,0.0,0.0,0.0,0.0,549382.8942879034,7695415.516072324,8479661.513463438,80616116.05564666,80616116.05564666,0.0
19,0.0,12715254.816060832,19.0,19,2031.883499816722,28.618212417159157,31.88349981672225,1,1,2028.6182124171592,3.3532435965390346,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,12366.906124390682,0.0,0.0,0.0,0.0,0.0,0.0,585024.1136382181,8129374.898315188,8949136.510443376,89565252.56609003,89565252.56609003,0.0
20,0.0,12715254.816060832,20.0,20,2035.324649892124,31.88349981672195,35.32464989212421,1,1,2031.883499816722,3.529056554264882,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,13774.197206719298,0.0,0.0,0.0,0.0,0.0,0.0,621375.1903469433,8562366.130885813,9418346.132022118,98983598.69811215,98983598.69811215,0.0
21,0.0,12715254.816060832,21.0,21,2038.941560559025,35.324649892123944,38.94156055902531,1,1,2035.324649892124,3.704764779537332,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,15256.444199919904,0.0,0.0,0.0,0.0,0.0,0.0,658473.778609061,8994337.409216609,9887276.243629232,108870874.94174138,108870874.94174138,0.0
22,0.0,12715254.816060832,22.0,22,2042.7341244430963,38.94156055902499,42.734124443096604,1,1,2038.941560559025,3.8803629886052473,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,16813.47053783286,0.0,0.0,0.0,0.0,0.0,0.0,696357.3064268982,9425237.18738255,10355912.743989684,119226787.68573105,119226787.68573105,0.0
23,0.0,12715254.816060832,23.0,23,2046.7022288928108,42.734124443096334,46.70222889281112,1,1,2042.7341244430963,4.0558459108237805,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,18445.09073108837,0.0,0.0,0.0,0.0,0.0,0.0,735062.9643385585,9855014.191059548,10824241.566806506,130051029.25253756,130051029.25253756,0.0
24,0.0,12715254.816060832,24.0,24,2050.8457559928634,46.70222889281081,50.845755992863786,1,1,2046.7022288928108,4.231208289281544,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,20151.11041412383,0.0,0.0,0.0,0.0,0.0,0.0,774627.6942558535,10283617.430364683,11292248.682434585,141343277.93497214,141343277.93497214,0.0
25,0.0,12715254.816060832,25.0,25,2055.164582578216,50.84575599286336,55.16458257821671,1,1,2050.8457559928634,4.406444881424308,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,21931.32639442394,0.0,0.0,0.0,0.0,0.0,0.0,815088.1784167722,10710996.21257312,11759920.099545194,153103198.03451732,153103198.03451732,0.0
26,0.0,12715254.816060832,26.0,26,2059.6585802487657,55.16458257821614,59.65858024876639,1,1,2055.164582578216,4.581550459675056,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,23785.526703962347,0.0,0.0,0.0,0.0,0.0,0.0,856480.8284574562,11137100.15470554,12227241.86678079,165330439.9012981,165330439.9012981,0.0
27,0.0,12715254.816060832,27.0,27,2064.327615384628,59.6585802487657,64.32761538462904,1,1,2059.6585802487657,4.756519812050256,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,25713.490652822184,0.0,0.0,0.0,0.0,0.0,0.0,898841.7746085554,11561879.195981672,12694200.074399725,178024639.97569782,178024639.97569782,0.0
28,0.0,12715254.816060832,28.0,28,2069.1702424303926,64.32761538462819,69.17024243039364,1,1,2064.327615384628,4.928734279478934,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,27714.98888497259,0.0,0.0,0.0,0.0,0.0,0.0,941952.6790613711,11802933.412816785,12971504.180573542,190996144.15627137,190996144.15627137,0.0
29,0.0,12715254.816060832,29.0,29,2074.1819810695656,69.17024243039259,74.18198106956677,1,1,2069.1702424303926,5.094742998867339,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,29758.21645719564,0.0,0.0,0.0,0.0,0.0,0.0,985087.1618572194,11774937.613835273,12971356.164346684,203967500.32061806,203967500.32061806,0.0
30,0.0,12715254.816060832,30.0,30,2079.3569113851368,74.18198106956561,79.3569113851377,1,1,2074.1819810695656,5.25511763227453,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,31796.59762502202,0.0,0.0,0.0,0.0,0.0,0.0,1027711.9410064085,11745715.668975478,12971356.243353099,216938856.56397116,216938856.56397116,0.0
31,0.0,12715254.816060832,31.0,31,2084.6896425627797,79.35691138513675,84.68964256278043,1,1,2079.3569113851368,5.410344723010927,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,33829.92012807726,0.0,0.0,0.0,0.0,0.0,0.0,1069893.463515171,11715383.519079622,12971356.243310926,229910212.8072821,229910212.8072821,0.0
32,0.0,12715254.816060832,32.0,32,2090.1752368140574,84.68964256277968,90.17523681405807,1,1,2084.6896425627797,5.560843779544331,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,35857.99177671992,0.0,0.0,0.0,0.0,0.0,0.0,1111687.2049192733,11684140.20194441,12971356.24331095,242881569.05059305,242881569.05059305,0.0
33,0.0,12715254.816060832,33.0,33,2095.8091484543106,90.17523681405737,95.80914845431124,1,1,2090.1752368140574,5.706979500962026,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,37880.654837108676,0.0,0.0,0.0,0.0,0.0,0.0,1153140.0812486627,11652140.701123359,12971356.243310947,255852925.293904,255852925.293904,0.0
34,0.0,12715254.816060832,34.0,34,2101.5871738470855,95.80914845431062,101.58717384708604,1,1,2095.8091484543106,5.849071284587558,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,39897.77840489095,0.0,0.0,0.0,0.0,0.0,0.0,1194292.0462876498,11619507.29140729,12971356.24331095,268824281.53721493,268824281.53721493,0.0
35,0.0,12715254.816060832,35.0,35,2107.5054098482115,101.58717384708552,107.50540984821211,1,1,2101.5871738470855,5.987400717664583,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,41909.252742928766,0.0,0.0,0.0,0.0,0.0,0.0,1235177.3327509009,11586337.565376373,12971356.24331095,281795637.78052586,281795637.78052586,0.0
36,0.0,12715254.816060832,36.0,36,2113.5602189826513,107.50540984821146,113.56021898265202,1,1,2107.5054098482115,6.122217551215233,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,43914.985008515694,0.0,0.0,0.0,0.0,0.0,0.0,1275825.4289205784,11552710.246438336,12971356.243310949,294766994.0238368,294766994.0238368,0.0
37,0.0,12715254.816060832,37.0,37,2119.7482000158384,113.56021898265135,119.74820001583925,1,1,2113.5602189826513,6.253744515159212,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,45914.8959868996,0.0,0.0,0.0,0.0,0.0,0.0,1316261.8559314623,11518689.462235563,12971356.24331095,307738350.2671477,307738350.2671477,0.0
38,0.0,12715254.816060832,38.0,38,2126.066162892239,119.74820001583839,126.06616289223966,1,1,2119.7482000158384,6.38218123764161,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,47908.917564582815,0.0,0.0,0.0,0.0,0.0,0.0,1356508.7928122974,11484327.929036628,12971356.24331095,320709706.51045865,320709706.51045865,0.0
39,0.0,12715254.816060832,39.0,39,2132.5111072429972,126.06616289223894,132.51110724299784,1,1,2126.066162892239,6.50770746387472,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,49896.99075387812,0.0,0.0,0.0,0.0,0.0,0.0,1396585.5838445283,11449669.354023108,12971356.24331095,333681062.7537696,333681062.7537696,0.0
40,0.0,12715254.816060832,40.0,40,2139.08020383566,132.51110724299724,139.08020383566083,1,1,2132.5111072429972,6.63048572145125,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,51879.06413332916,0.0,0.0,0.0,0.0,0.0,0.0,1436509.1539447256,11414750.268042479,12971356.24331095,346652418.9970805,346652418.9970805,0.0
41,0.0,12715254.816060832,41.0,41,2145.7707784684003,139.0802038356601,145.7707784684009,1,1,2139.08020383566,6.750663544028895,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,53855.09260540191,0.0,0.0,0.0,0.0,0.0,0.0,1476294.3514320161,11379601.438322533,12971356.243310949,359623775.24039143,359623775.24039143,0.0
42,0.0,12715254.816060832,42.0,42,2152.580297910179,145.7707784684003,152.58029791017952,1,1,2145.7707784684003,6.868375339528391,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,55825.03639873393,0.0,0.0,0.0,0.0,0.0,0.0,1515954.2329315236,11344248.967775824,12971356.243310949,372595131.48370236,372595131.48370236,0.0
43,0.0,12715254.816060832,43.0,43,2159.5063575648587,152.58029791017907,159.506357564859,1,1,2152.580297910179,6.983743969830566,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,57788.860260686124,0.0,0.0,0.0,0.0,0.0,0.0,1555500.301771862,11308715.157926617,12971356.24331095,385566487.7270133,385566487.7270133,0.0
44,0.0,12715254.816060832,44.0,44,2166.546670597049,159.50635756485872,166.5466705970493,1,1,2159.5063575648587,7.0968820945500575,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,59746.53279927737,0.0,0.0,0.0,0.0,0.0,0.0,1594942.708708058,11273019.191785535,12971356.24331095,398537843.9703242,398537843.9703242,0.0
45,0.0,12715254.816060832,45.0,45,2173.699058304581,166.5466705970489,173.69905830458117,1,1,2166.546670597049,7.207893320513679,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,61698.02594333289,0.0,0.0,0.0,0.0,0.0,0.0,1634290.4218991036,11237177.678306056,12971356.243310949,411509200.21363515,411509200.21363515,0.0
46,0.0,12715254.816060832,46.0,46,2180.961441559922,173.69905830458083,180.96144155992258,1,1,2173.699058304581,7.316873190169114,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,63643.3144968845,0.0,0.0,0.0,0.0,0.0,0.0,1673551.3716227822,11201205.089519646,12971356.243310949,424480556.4569461,424480556.4569461,0.0
47,0.0,12715254.816060832,47.0,47,2188.3318331728287,180.96144155992215,188.33183317282896,1,1,2180.961441559922,7.423910035643646,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,65582.37576924406,0.0,0.0,0.0,0.0,0.0,0.0,1712732.5740999389,11165114.113791792,12971356.24331095,437451912.700257,437451912.700257,0.0
48,0.0,12715254.816060832,48.0,48,2195.808331050697,188.33183317282874,195.808331050697,1,1,2188.3318331728287,7.529085720092461,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,67515.18926622978,0.0,0.0,0.0,0.0,0.0,0.0,1751840.23794039,11128915.943036398,12971356.24331095,450423268.94356793,450423268.94356793,0.0
49,0.0,12715254.816060832,49.0,49,2203.389112052732,195.80833105069678,203.38911205273217,1,1,2195.808331050697,7.632476283977866,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,69441.73643111276,0.0,0.0,0.0,0.0,0.0,0.0,1790879.85605123,11092620.507565133,12971356.24331095,463394625.18687886,463394625.18687886,0.0
50,0.0,12715254.816060832,50.0,50,2211.0724264500964,203.3891120527319,211.07242645009646,1,1,2203.389112052732,7.734152510750703,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,71362.0004262186,0.0,0.0,0.0,0.0,0.0,0.0,1829856.2853199912,11056236.669148846,12971356.24331095,476365981.4301898,476365981.4301898,0.0
51,0.0,12715254.816060832,51.0,51,2218.8565929174088,211.07242645009637,218.856592917409,1,1,2211.0724264500964,7.834180423874333,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,73275.96594795046,0.0,0.0,0.0,0.0,0.0,0.0,1868773.8159664567,11019772.380524008,12971356.24331095,489337337.6735007,489337337.6735007,0.0
52,0.0,12715254.816060832,52.0,52,2226.7399939918946,218.85659291740876,226.73999399189495,1,1,2218.8565929174088,7.932621725097614,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,75183.61906942439,0.0,0.0,0.0,0.0,0.0,0.0,1907636.2321228832,10983234.817800965,12971356.24331095,502308693.91681165,502308693.91681165,0.0
53,0.0,12715254.816060832,53.0,53,2234.721071945563,226.7399939918946,234.72107194556307,1,1,2226.7399939918946,8.029534182238644,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,77084.94710602604,0.0,0.0,0.0,0.0,0.0,0.0,1946446.8649341823,10946630.490868488,12971356.24331095,515280050.1601226,515280050.1601226,0.0
54,0.0,12715254.816060832,54.0,54,2242.7983250233838,234.72107194556293,242.79832502338405,1,1,2234.721071945563,8.124971973403346,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,78979.93850008004,0.0,0.0,0.0,0.0,0.0,0.0,1985208.6392529272,10909965.335840773,12971356.24331095,528251406.4034335,528251406.4034335,0.0
55,0.0,12715254.816060832,55.0,55,2250.97030400682,242.79832502338377,250.97030400682021,1,1,2242.7983250233838,8.218985993468996,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,80868.58272152259,0.0,0.0,0.0,0.0,0.0,0.0,2023924.114828012,10873244.79277601,12971356.24331095,541222762.6467445,541222762.6467445,0.0
56,0.0,12715254.816060832,56.0,56,2259.235609067436,250.9703040068198,259.23560906743637,1,1,2250.97030400682,8.311624127763318,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,82750.87018202843,0.0,0.0,0.0,0.0,0.0,0.0,2062595.5227420316,10836473.871261502,12971356.24331095,554194118.8900554,554194118.8900554,0.0
57,0.0,12715254.816060832,57.0,57,2267.592886879881,259.23560906743614,267.59288687988135,1,1,2259.235609067436,8.402931497126676,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,84626.79216049124,0.0,0.0,0.0,0.0,0.0,0.0,2101224.7977343593,10799657.205958208,12971356.24331095,567165475.1333663,567165475.1333663,0.0
58,0.0,12715254.816060832,58.0,58,2276.0408279674084,267.592886879881,276.04082796740863,1,1,2267.592886879881,8.492950677927935,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,86496.34073811937,0.0,0.0,0.0,0.0,0.0,0.0,2139813.6069495445,10762799.103802072,12971356.24331095,580136831.3766773,580136831.3766773,0.0
59,0.0,12715254.816060832,59.0,59,2284.5781642564175,276.0408279674084,284.57816425641767,1,1,2276.0408279674084,8.581721900090168,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,88359.5087417028,0.0,0.0,0.0,0.0,0.0,0.0,2178363.375569908,10725903.584248517,12971356.24331095,593108187.6199882,593108187.6199882,0.0
60,0.0,12715254.816060832,60.0,60,2293.203666819338,284.5781642564175,293.20366681933854,1,1,2284.5781642564175,8.669283225751519,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,90216.28969384682,0.0,0.0,0.0,0.0,0.0,0.0,2216875.3097240347,10688974.413686937,12971356.243310949,606079543.8632991,606079543.8632991,0.0
61,0.0,12715254.816060832,61.0,61,2301.916143787626,293.2036668193382,301.9161437876264,1,1,2293.203666819338,8.7556707108243,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,92066.6777691634,0.0,0.0,0.0,0.0,0.0,0.0,2255350.417006673,10652015.134965489,12971356.24331095,619050900.1066101,619050900.1066101,0.0
62,0.0,12715254.816060832,62.0,62,2310.7144384187427,301.91614378762597,310.7144384187433,1,1,2301.916143787626,8.84091855140951,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,93910.66775557345,0.0,0.0,0.0,0.0,0.0,0.0,2293789.5248984154,10615029.092781648,12971356.24331095,632022256.349921,632022256.349921,0.0
63,0.0,12715254.816060832,63.0,63,2319.59742730283,310.7144384187427,319.5974273028305,1,1,2310.7144384187427,8.925059216764911,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,95748.25502000462,0.0,0.0,0.0,0.0,0.0,0.0,2332193.297333814,10578019.455588602,12971356.24331095,644993612.5932319,644993612.5932319,0.0
64,0.0,12715254.816060832,64.0,64,2328.5640186963647,319.59742730283006,328.5640186963651,1,1,2319.59742730283,9.008123570304335,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,97579.43547788134,0.0,0.0,0.0,0.0,0.0,0.0,2370562.249632987,10540989.23453642,12971356.24331095,657964968.8365428,657964968.8365428,0.0
65,0.0,12715254.816060832,65.0,65,2337.613150971476,328.56401869636466,337.6131509714763,1,1,2328.5640186963647,9.090140979917935,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,99404.20556589383,0.0,0.0,0.0,0.0,0.0,0.0,2408896.761983285,10503941.299893262,12971356.24331095,670936325.0798538,670936325.0798538,0.0
66,0.0,12715254.816060832,66.0,66,2346.743791170806,337.613150971476,346.7437911708063,1,1,2337.613150971476,9.17113941874211,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,101222.56221760967,0.0,0.0,0.0,0.0,0.0,0.0,2447197.091633307,10466878.3953197,12971356.24331095,683907681.3231647,683907681.3231647,0.0
