mp_group,track_long_kn,grade_front,f_curve_kn,direction
242.0,382.3266732480646,-0.0059999999999998,0.036045437107136744,NB
242.1,407.4997359363167,-0.005999999999999967,0.02432924955275134,NB
242.2,384.65950032762515,-0.006000000000000001,0.01586255534225459,NB
242.3,413.08516958299305,-0.005999999999999967,0.010717899953414448,NB
242.4,421.41196875821066,-0.0059999999999999255,0.0058681027461733055,NB
242.5,407.7867393197377,-0.006,0.01002229274068554,NB
242.6,407.793237350014,-0.00599999999999995,0.016520323016996262,NB
242.8,407.776717026997,-0.0059999999999998,0.0,NB
243.1,399.2030936079732,-0.006,0.0,NB
243.2,436.2050473111287,-0.006,0.0,NB
243.9,399.2738490436226,-0.0051999999999999,0.07075543564937253,NB
244.0,385.3435853229096,-0.0052000000000001,0.5932203778256298,NB
244.1,433.3719024462095,-0.005066666666666666,0.4875432879281052,NB
244.2,436.98151762175166,-0.0047999999999998,0.7764703106229947,NB
244.4,412.9308939416317,-0.0044999999999998,5.154176914634721,NB
244.6,419.0414505083989,-0.0038,2.2624288914267687,NB
245.0,391.2852134559215,-0.0026086559999928,0.25697008469191623,NB
245.1,425.3233888941738,-0.0024999999999999333,0.6770914199201195,NB
245.2,448.16019845214123,-0.0025000000000002,1.4545967117386085,NB
245.3,448.0016138965087,-0.0021000000000004,1.2960121561060316,NB
245.4,420.9417879964932,-0.0019999999999999,4.162766379521113,NB
245.5,420.5878920742278,-0.0014000000000017,3.808870457255674,NB
245.7,384.11461468949057,-0.0012,0.8896374533345631,NB
245.8,408.6621810982038,-0.0012,0.8854640712068038,NB
246.1,376.44844847315153,0.0,0.05795023692275959,NB
246.2,396.9816442461174,0.0,0.37057632296542947,NB
246.3,401.4747519204648,0.0,1.018997220391702,NB
246.4,408.50669696130535,0.0,0.7299799343083648,NB
246.7,60.84253590901537,0.0004999999999999,1.3917285199526173,NB
246.8,447.7510986269042,0.0004999999999999,1.0454968865015812,NB
247.0,396.27493707294417,0.0019999999999999,0.03155380742829293,NB
247.1,407.79140108972695,0.0019999999999999,0.014684062729981628,NB
247.2,399.45244321343245,0.0020999999999986,0.24934960545924903,NB
247.6,368.6377255883894,0.0022999999999999,0.001463300414231763,NB
247.7,446.544286643702,0.0022999999999999,0.001463300414231763,NB
247.9,-67.20706687767411,0.0035666666666666,2.389465228703419,NB
248.0,424.6797472507654,0.0035999999999997,0.3012317764843446,NB
248.2,-67.6601553484568,0.004199999999999533,4.1479430426964745,NB
248.3,450.0167291198321,0.0042000000000005,3.311127379429456,NB
248.5,145.60251689201652,0.00430000000000008,0.9095891672446748,NB
248.6,-18.034677736299056,0.0042999999999999,2.986195693642488,NB
248.7,65.59913240343737,0.004299999999999976,5.170350263173463,NB
248.9,-337.68975828424436,0.0044000000000018,4.478316862797575,NB
249.0,-11.340453695094405,0.0044000000000003784,3.6160494683282005,NB
249.1,-17.15848810189583,0.004399999999999781,2.4549208386468466,NB
249.3,63.40981825713433,0.0049000000000008,3.4741714567331563,NB
249.4,-18.78811294310117,0.00489999999999994,1.0022948629310915,NB
249.7,460.305621210757,0.0050999999999998,2.516100906120916,NB
250.0,-72.81194129755778,0.0059,0.16642774470163557,NB
250.3,18.095500056354922,0.0059999999999969505,0.06075487764484555,NB
250.4,44.64077816004352,0.006000000000001412,0.060634531649641894,NB
250.5,190.09001664290068,0.006000000000001267,0.04870603509448881,NB
250.6,-71.64291226876652,0.005999999999999984,0.10403283736896579,NB
250.7,-72.60317556991389,0.006000000000000033,0.07562041743657905,NB
250.8,-72.72184345725582,0.005999999999999967,0.012133387240557384,NB
250.9,59.722321275827085,0.00599999999999995,0.006688789166555333,NB
251.0,-327.76575738777507,0.006,0.0,NB
251.1,446.70560174040264,0.006,0.0,NB
251.3,-327.76575738777507,0.006,0.0,NB
251.6,6.571756157097817,0.0061,0.18334257441758536,NB
251.7,198.9382185776095,0.0060999999999999,0.09342955761852391,NB
251.8,-327.8589222081514,0.0060999999999999,0.009498820124874312,NB
251.9,457.7895203046361,0.0060999999999999,0.0,NB
252.0,-327.7725534146747,0.0060999999999999,0.0,NB
252.3,-69.61086471005592,0.006399999999999867,0.027153187747778845,NB
252.4,-327.88328072888766,0.0063999999999998,0.017000923343290755,NB
252.8,469.6761367586122,0.0067999999999997,0.16933111464352593,NB
252.9,-348.5613971938898,0.0,0.08609151393454624,NB
242.0,409.98815782473815,0.0,2.211440797741133,SB
242.2,412.70069452034323,0.0060000000000089,0.031006889856210754,SB
242.3,407.7964429801717,0.0060000000000007,0.019725953174682315,SB
242.4,407.78739254260347,0.00599999999999965,0.010675515606514741,SB
242.5,407.78120349318306,0.0059999999999986,0.004486466186013619,SB
242.6,407.78255612670813,0.0060000000000009,0.005839099711139986,SB
242.7,407.79125689136947,0.0060000000000005,0.014539864372447276,SB
242.9,407.776717026997,0.0059999999999998,0.0,SB
243.3,436.2050473111287,0.0060000000000002,0.0,SB
243.9,399.31878556270067,0.0060000000000002,0.11569195472746964,SB
244.0,436.3583692443322,0.005299999999999,0.15332193320354973,SB
244.2,436.7824172709493,0.0052000000000035,0.577369959820585,SB
244.3,426.5035338213324,0.0051999999999985,0.2605509687455397,SB
244.7,422.44067875513025,0.0045000000000001,5.661657138158154,SB
244.8,407.8802762041942,0.0037999999999996,0.1035591771972008,SB
245.2,447.0415803402184,0.0029500000000005,0.3359785998157128,SB
245.3,447.4725815090176,0.0026999999999993,0.7669797686149259,SB
245.4,428.01272289982376,0.0025000000000002668,1.258174575041495,SB
245.5,419.02312532748863,0.0024999999999998,2.2441037105165544,SB
245.6,387.1305180354278,0.0021,3.7321348851590104,SB
245.7,385.34978025501596,0.0019999999999988,2.1248030188599576,SB
246.0,407.7877436235777,0.0012,0.011026596580666147,SB
