time_seconds,i,offset_meters,offset_back_meters,total_dist_meters,link_idx_front,link_idx_back,offset_in_link_meters,speed_meters_per_second,speed_limit_meters_per_second,speed_target_meters_per_second,dt_seconds,length_meters,mass_static_kilograms,mass_rot_kilograms,mass_freight_kilograms,weight_static_newtons,res_rolling_newtons,res_bearing_newtons,res_davis_b_newtons,res_aero_newtons,res_grade_newtons,res_curve_newtons,grade_front,grade_back,elev_front_meters,elev_back_meters,pwr_res_watts,pwr_accel_watts,pwr_whl_out_watts,energy_whl_out_joules,energy_whl_out_pos_joules,energy_whl_out_neg_joules
0.0,0,18.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,18.34122776601684,0.0,0.3412277660168379,4,4,18.0,0.36622776601683793,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.7141261693316,15577.047518668645,16503.761644837978,16503.761644837978,16503.761644837978,0.0
2.0,2,18.732455532033676,0.34122776601683924,0.7324555320336759,4,4,18.34122776601684,0.4162277660168379,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,326.6535280022606,0.671495740264575,0.0,0.0,0.0,0.0,0.0,0.0,1190.5639009257752,17859.54751866865,19050.111419594425,35553.8730644324,35553.8730644324,0.0
3.0,3,19.173683298050513,0.7324555320336756,1.1736832980505139,4,4,18.732455532033676,0.46622776601683796,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,371.2505736543429,0.8673668555291499,0.0,0.0,0.0,0.0,0.0,0.0,1362.4851676677831,20142.047518668674,21504.532686336457,57058.405750768856,57058.405750768856,0.0
4.0,4,19.66491106406735,1.1736832980505127,1.664911064067352,4,4,19.173683298050513,0.516227766016838,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,415.8476193064252,1.0882708457937253,0.0,0.0,0.0,0.0,0.0,0.0,1538.8980229297886,22424.547518668638,23963.445541598427,81021.85129236728,81021.85129236728,0.0
5.0,5,20.20613883008419,1.6649110640673506,2.20613883008419,4,4,19.66491106406735,0.566227766016838,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,460.44466495850753,1.3342077110583004,0.0,0.0,0.0,0.0,0.0,0.0,1719.8062216430421,24707.047518668678,26426.85374031172,107448.705032679,107448.705032679,0.0
6.0,6,20.79736659610103,2.206138830084189,2.797366596101028,4,4,20.20613883008419,0.616227766016838,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,505.0417106105898,1.6051774513228754,0.0,0.0,0.0,0.0,0.0,0.0,1905.2135187387937,26989.54751866868,28894.761037407476,136343.4660700865,136343.4660700865,0.0
7.0,7,21.438594362117865,2.7973665961010283,3.4385943621178656,4,4,20.79736659610103,0.666227766016838,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,549.6387562626721,1.901180066587451,0.0,0.0,0.0,0.0,0.0,0.0,2095.123669148293,29272.047518668605,31367.171187816897,167710.63725790338,167710.63725790338,0.0
8.0,8,22.129822128134702,3.4385943621178647,4.129822128134704,4,4,21.438594362117865,0.716227766016838,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,594.2358019147543,2.2222155568520257,0.0,0.0,0.0,0.0,0.0,0.0,2289.54042780279,31554.547518668685,33844.087946471474,201554.72520437484,201554.72520437484,0.0
9.0,9,22.87104989415154,4.129822128134702,4.871049894151541,4,4,22.129822128134702,0.766227766016838,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,638.8328475668367,2.5682839221166005,0.0,0.0,0.0,0.0,0.0,0.0,2488.467549633536,33837.04751866864,36325.51506830217,237880.240272677,237880.240272677,0.0
10.0,10,23.662277660168378,4.87104989415154,5.662277660168379,4,4,22.87104989415154,0.816227766016838,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,683.4298932189189,2.9393851623811753,0.0,0.0,0.0,0.0,0.0,0.0,2691.908789571779,36119.54751866869,38811.45630824047,276691.69658091746,276691.69658091746,0.0
11.0,11,24.503505426185217,5.662277660168378,6.503505426185217,4,4,23.662277660168378,0.8662277660168379,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,728.0269388710012,3.335519277645751,0.0,0.0,0.0,0.0,0.0,0.0,2899.8679025487695,38402.04751866859,41301.91542121736,317993.6120021348,317993.6120021348,0.0
12.0,12,25.394733192202054,6.503505426185217,7.394733192202056,4,4,24.503505426185217,0.916227766016838,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,772.6239845230834,3.7566862679103257,0.0,0.0,0.0,0.0,0.0,0.0,3112.3486434957586,40684.547518668696,43796.896162164456,361790.50816429924,361790.50816429924,0.0
13.0,13,26.33596095821889,7.394733192202054,8.335960958218894,4,4,25.394733192202054,0.966227766016838,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,817.2210301751658,4.2028861331749,0.0,0.0,0.0,0.0,0.0,0.0,3329.3547673439953,42967.047518668696,46296.40228601269,408086.91045031196,408086.91045031196,0.0
14.0,14,27.32718872423573,8.335960958218891,9.327188724235732,4,4,26.33596095821889,1.016227766016838,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,861.8180758272481,4.674118873439476,0.0,0.0,0.0,0.0,0.0,0.0,3550.8900290247307,45249.547518668594,48800.43754769333,456887.3479980053,456887.3479980053,0.0
15.0,15,28.368416490252567,9.327188724235729,10.36841649025257,4,4,27.32718872423573,1.066227766016838,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,906.4151214793303,5.17038448870405,0.0,0.0,0.0,0.0,0.0,0.0,3776.958183469213,47532.047518668696,51309.00570213791,508196.35370014317,508196.35370014317,0.0
16.0,16,29.459644256269407,10.368416490252567,11.459644256269408,4,4,28.368416490252567,1.116227766016838,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,951.0121671314128,5.691682978968626,0.0,0.0,0.0,0.0,0.0,0.0,4007.562985608693,49814.54751866865,53822.11050427735,562018.4642044206,562018.4642044206,0.0
17.0,17,30.600872022286246,11.459644256269407,12.600872022286246,4,4,29.459644256269407,1.166227766016838,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,995.609212783495,6.238014344233202,0.0,0.0,0.0,0.0,0.0,0.0,4242.708190374423,52097.0475186687,56339.75570904313,618358.2199134637,618358.2199134637,0.0
18.0,18,31.792099788303084,12.600872022286246,13.792099788303084,4,4,30.600872022286246,1.2162277660168381,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,1040.2062584355772,6.809378584497778,0.0,0.0,0.0,0.0,0.0,0.0,4482.397552697648,54379.547518668754,58861.945071366405,677220.1649848301,677220.1649848301,0.0
19.0,19,33.033327554319925,13.792099788303084,15.033327554319921,4,4,31.792099788303084,1.2662277660168382,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,1084.8033040876596,7.405775699762352,0.0,0.0,0.0,0.0,0.0,0.0,4726.634827509624,56662.04751866871,61388.682346178335,738608.8473310084,738608.8473310084,0.0
20.0,20,34.32455532033676,15.033327554319925,16.32455532033676,4,4,33.033327554319925,1.316227766016838,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,1129.4003497397418,8.027205690026928,0.0,0.0,0.0,0.0,0.0,0.0,4975.423769741596,58944.547518668456,63919.97128841005,802528.8186194184,802528.8186194184,0.0
21.0,21,35.6657830863536,16.324555320336763,17.6657830863536,4,4,34.32455532033676,1.3662277660168383,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,1173.997395391824,8.673668555291501,0.0,0.0,0.0,0.0,0.0,0.0,5228.768134324816,61227.047518668915,66455.81565299373,868984.6342724122,868984.6342724122,0.0
22.0,22,37.05701085237044,17.6657830863536,19.05701085237044,4,4,35.6657830863536,1.4162277660168383,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,1218.5944410439065,9.34516429555608,0.0,0.0,0.0,0.0,0.0,0.0,5486.6716761905345,63509.54751866886,68996.2191948594,937980.8534672715,937980.8534672715,0.0
23.0,23,38.498238618387276,19.05701085237044,20.498238618387276,4,4,37.05701085237044,1.4662277660168381,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,1263.191486695989,10.041692910820656,0.0,0.0,0.0,0.0,0.0,0.0,5749.138150270001,65792.0475186684,71541.1856689384,1009522.03913621,1009522.03913621,0.0
24.0,24,39.98946638440412,20.498238618387276,21.989466384404114,4,4,38.498238618387276,1.5162277660168382,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,1307.7885323480712,10.763254401085229,0.0,0.0,0.0,0.0,0.0,0.0,6016.171311494465,68074.54751866857,74090.71883016304,1083612.757966373,1083612.757966373,0.0
25.0,25,41.530694150420956,21.989466384404118,23.530694150420953,4,4,39.98946638440412,1.566227766016838,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,1352.3855780001534,11.509848766349805,0.0,0.0,0.0,0.0,0.0,0.0,6287.774914795175,70357.04751866852,76644.82243346369,1160257.5803998369,1160257.5803998369,0.0
26.0,26,43.12192191643779,23.530694150420956,25.121921916437792,4,4,41.530694150420956,1.6162277660168383,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,1396.9826236522356,12.281476006614376,0.0,0.0,0.0,0.0,0.0,0.0,6563.952715103385,72639.54751866907,79203.50023377246,1239461.0806336093,1239461.0806336093,0.0
27.0,27,44.76314968245463,25.121921916437792,26.76314968245463,4,4,43.12192191643779,1.666227766016838,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,1441.579669304318,13.078136121878956,0.0,0.0,0.0,0.0,0.0,0.0,6844.708467350342,74922.04751866842,81766.75598601876,1321227.8366196281,1321227.8366196281,0.0
28.0,28,46.45437744847147,26.76314968245463,28.45437744847147,4,4,44.76314968245463,1.7162277660168384,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,1486.1767149564002,13.899829112143529,0.0,0.0,0.0,0.0,0.0,0.0,7130.045926467299,77204.54751866897,84334.59344513627,1405562.4300647643,1405562.4300647643,0.0
29.0,29,48.19560521448831,28.45437744847147,30.195605214488307,4,4,46.45437744847147,1.7662277660168382,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,1530.7737606084825,14.746554977408108,0.0,0.0,0.0,0.0,0.0,0.0,7419.968847385503,79487.04751866832,86907.01636605382,1492469.4464308182,1492469.4464308182,0.0
