time_seconds,milepost,speed_mps,accel_ms2,F_dynamic_kN,F_air_kN,F_total_brake_kN,F_resistance_kN,pwr_whl_out_watts,res_grade_newtons,res_curve_newtons
0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,242.0002120296308,0.3662277660168379,0.3662277660168379,0.0,559.9411281914004,559.9411281914004,50.88453342799567,44490.82306478268,0.0,0.0
2.0,242.00045512789842,0.4162277660168379,0.050000000000000044,0.0,122.17194854341902,122.17194854341902,52.67194854341895,51709.33615873424,0.0,0.0
3.0,242.00072929480288,0.4662277660168379,0.04999999999999999,0.0,122.42235256089319,122.42235256089319,52.922352560893195,58428.418791137046,0.0,0.0
4.0,242.00103453034416,0.516227766016838,0.050000000000000044,0.0,122.6742878283675,122.6742878283675,53.17428782836743,65173.29401780387,0.0,0.0
5.0,242.00137083452228,0.566227766016838,0.050000000000000044,0.0,122.92775434584173,122.92775434584173,53.42775434584168,71944.19152623496,0.0,0.0
6.0,242.00173820733724,0.616227766016838,0.050000000000000044,0.0,123.18275211331597,123.18275211331597,53.682752113315914,78741.34100393012,0.0,0.0
7.0,242.00213664878902,0.666227766016838,0.04999999999999993,0.0,123.43928113079006,123.43928113079006,53.939281130790164,85564.9721383893,0.0,0.0
8.0,242.00256615887764,0.716227766016838,0.050000000000000044,0.0,123.69734139826447,123.69734139826447,54.19734139826441,92415.31461711288,0.0,0.0
9.0,242.00302673760308,0.766227766016838,0.04999999999999993,0.0,123.95693291573856,123.95693291573856,54.456932915738655,99292.59812760036,0.0,0.0
10.0,242.00351838496536,0.816227766016838,0.050000000000000044,0.0,124.21805568321297,124.21805568321297,54.7180556832129,106197.05235735216,0.0,0.0
11.0,242.00404110096449,0.8662277660168379,0.04999999999999993,0.0,124.48070970068706,124.48070970068706,54.98070970068715,113128.90699386786,0.0,0.0
12.0,242.00459488560043,0.916227766016838,0.050000000000000044,0.0,124.74489496816145,124.74489496816145,55.24489496816139,120088.391724648,0.0,0.0
13.0,242.0051797388732,0.966227766016838,0.050000000000000044,0.0,125.01061148563569,125.01061148563569,55.51061148563563,127075.73623719216,0.0,0.0
14.0,242.00579566078284,1.016227766016838,0.04999999999999993,0.0,125.27785925310978,125.27785925310978,55.77785925310987,134091.17021900025,0.0,0.0
15.0,242.00644265132928,1.066227766016838,0.050000000000000044,0.0,125.54663827058417,125.54663827058417,56.04663827058412,141134.9233575728,0.0,0.0
16.0,242.00712071051254,1.116227766016838,0.050000000000000044,0.0,125.81694853805843,125.81694853805843,56.31694853805836,148207.22534040926,0.0,0.0
17.0,242.00782983833267,1.166227766016838,0.050000000000000044,0.0,126.08879005553267,126.08879005553267,56.588790055532606,155308.30585501005,0.0,0.0
18.0,242.0085700347896,1.216227766016838,0.04999999999999982,0.0,126.3621628230066,126.3621628230066,56.862162823006855,162438.39458887494,0.0,0.0
19.0,242.00934129988337,1.2662277660168382,0.050000000000000266,0.0,126.63706684048147,126.63706684048147,57.1370668404811,169597.72122950386,0.0,0.0
20.0,242.01014363361398,1.316227766016838,0.04999999999999982,0.0,126.9135021079551,126.9135021079551,57.41350210795534,176786.51546439648,0.0,0.0
21.0,242.01097703598143,1.3662277660168385,0.05000000000000049,0.0,127.19146862543026,127.19146862543026,57.69146862542958,184005.0069810545,0.0,0.0
22.0,242.0118415069857,1.4162277660168383,0.04999999999999982,0.0,127.47096639290358,127.47096639290358,57.97096639290382,191253.42546697575,0.0,0.0
23.0,242.0127370466268,1.466227766016838,0.0499999999999996,0.0,127.7519954103775,127.7519954103775,58.25199541037807,198532.0006096605,0.0,0.0
24.0,242.01366365490475,1.5162277660168382,0.050000000000000266,0.0,128.0345556778527,128.0345556778527,58.53455567785232,205840.9620966104,0.0,0.0
25.0,242.0146213318195,1.566227766016838,0.04999999999999982,0.0,128.31864719532632,128.31864719532632,58.818647195326555,213180.5396153241,0.0,0.0
26.0,242.01561007737112,1.6162277660168385,0.05000000000000049,0.0,128.60426996280148,128.60426996280148,59.10426996280081,220550.962853303,0.0,0.0
27.0,242.01662989155955,1.666227766016838,0.0499999999999996,0.0,128.8914239802745,128.8914239802745,59.39142398027505,227952.4614980439,0.0,0.0
28.0,242.01768077438481,1.7162277660168384,0.050000000000000266,0.0,129.18010924774967,129.18010924774967,59.68010924774929,235385.26523705103,0.0,0.0
29.0,242.01876272584693,1.7662277660168382,0.04999999999999982,0.0,129.4703257652233,129.4703257652233,59.970325765223535,242849.60375782024,0.0,0.0
30.0,242.01987574594585,1.8162277660168384,0.050000000000000266,0.0,129.76207353269814,129.76207353269814,60.26207353269778,250345.7067478557,0.0,0.0
31.0,242.02101983468162,1.8662277660168385,0.050000000000000044,0.0,130.05535255017207,130.05535255017207,60.555352550172024,257873.80389465383,0.0,0.0
32.0,242.0221949920542,1.9162277660168383,0.04999999999999982,0.0,130.350162817646,130.350162817646,60.85016281764627,265434.1248857169,0.0,0.0
33.0,242.02340121806364,1.9662277660168384,0.050000000000000044,0.0,130.64650433512057,130.64650433512057,61.14650433512051,273026.89940854436,0.0,0.0
34.0,242.0246385127099,2.016227766016838,0.04999999999999982,0.0,130.9443771025945,130.9443771025945,61.44437710259476,280652.35715063324,0.0,0.0
35.0,242.025906875993,2.066227766016838,0.04999999999999982,0.0,131.24378112006875,131.24378112006875,61.743781120069,288310.72779948934,0.0,0.0
36.0,242.02720630791293,2.116227766016838,0.04999999999999982,0.0,131.544716387543,131.544716387543,62.04471638754324,296002.2410426085,0.0,0.0
37.0,242.0285368084697,2.166227766016838,0.050000000000000266,0.0,131.84718290501786,131.84718290501786,62.34718290501748,303727.1265674933,0.0,0.0
38.0,242.0298983776633,2.2162277660168384,0.050000000000000266,0.0,132.15118067249207,132.15118067249207,62.651180672491726,311485.61406164075,0.0,0.0
39.0,242.0312910154937,2.266227766016838,0.04999999999999982,0.0,132.45670968996572,132.45670968996572,62.956709689965976,319277.93321255094,0.0,0.0
40.0,242.03271472196099,2.3162277660168384,0.050000000000000266,0.0,132.7637699574406,132.7637699574406,63.263769957440225,327104.31370772887,0.0,0.0
41.0,242.03416949706505,2.3662277660168383,0.04999999999999982,0.0,133.0723614749142,133.0723614749142,63.57236147491446,334964.9852346667,0.0,0.0
42.0,242.035655340806,2.4162277660168385,0.050000000000000266,0.0,133.38248424238907,133.38248424238907,63.882484242388706,342860.1774808728,0.0,0.0
43.0,242.03717225318374,2.4662277660168384,0.04999999999999982,0.0,133.6941382598627,133.6941382598627,64.19413825986295,350790.12013383955,0.0,0.0
44.0,242.03872023419834,2.5162277660168386,0.050000000000000266,0.0,134.00732352733755,134.00732352733755,64.50732352733719,358755.0428810733,0.0,0.0
45.0,242.04029928384975,2.566227766016839,0.050000000000000266,0.0,134.32204004481179,134.32204004481179,64.82204004481144,366755.17541006976,0.0,0.0
46.0,242.041909402138,2.6162277660168387,0.04999999999999982,0.0,134.63828781228545,134.63828781228545,65.13828781228568,374790.7474083289,0.0,0.0
47.0,242.0435505890631,2.6662277660168385,0.04999999999999982,0.0,134.9560668297597,134.9560668297597,65.45606682975992,382861.98856335366,0.0,0.0
48.0,242.04522284462502,2.716227766016839,0.050000000000000266,0.0,135.27537709723453,135.27537709723453,65.77537709723417,390969.1285626446,0.0,0.0
49.0,242.04692616882375,2.766227766016839,0.050000000000000266,0.0,135.5962186147088,135.5962186147088,66.09621861470842,399112.3970936976,0.0,0.0
50.0,242.04866056165935,2.8162277660168393,0.050000000000000266,0.0,135.91859138218302,135.91859138218302,66.41859138218267,407292.02384401474,0.0,0.0
51.0,242.05042602313176,2.866227766016839,0.04999999999999982,0.0,136.24249539965666,136.24249539965666,66.7424953996569,415508.23850109393,0.0,0.0
52.0,242.052222553241,2.9162277660168394,0.050000000000000266,0.0,136.5679306671315,136.5679306671315,67.06793066713115,423761.2707524415,0.0,0.0
53.0,242.05405015198707,2.9662277660168392,0.04999999999999982,0.0,136.89489718460516,136.89489718460516,67.3948971846054,432051.35028555035,0.0,0.0
54.0,242.05590881937,3.016227766016839,0.04999999999999982,0.0,137.2233949520794,137.2233949520794,67.72339495207963,440378.70678792335,0.0,0.0
55.0,242.05779855538975,3.0662277660168393,0.050000000000000266,0.0,137.55342396955425,137.55342396955425,68.05342396955389,448743.5699470632,0.0,0.0
56.0,242.05971936004633,3.116227766016839,0.04999999999999982,0.0,137.88498423702788,137.88498423702788,68.38498423702812,457146.1694504631,0.0,0.0
57.0,242.06167123333972,3.166227766016839,0.04999999999999982,0.0,138.2180757545021,138.2180757545021,68.71807575450237,465586.7349856285,0.0,0.0
58.0,242.06365417526996,3.2162277660168392,0.050000000000000266,0.0,138.552698521977,138.552698521977,69.05269852197662,474065.4962400623,0.0,0.0
59.0,242.06566818583704,3.2662277660168395,0.050000000000000266,0.0,138.88885253945122,138.88885253945122,69.38885253945087,482582.6829012559,0.0,0.0
60.0,242.06771326504096,3.3162277660168393,0.04999999999999982,0.0,139.22653780692485,139.22653780692485,69.72653780692511,491138.5246567124,0.0,0.0
61.0,242.0697894128817,3.366227766016839,0.04999999999999982,0.0,139.5657543243991,139.5657543243991,70.06575432439934,499733.2511939356,0.0,0.0
62.0,242.07189662935926,3.416227766016839,0.04999999999999982,0.0,139.9065020918733,139.9065020918733,70.40650209187358,508367.0922004217,0.0,0.0
63.0,242.07403491447369,3.4662277660168392,0.050000000000000266,0.0,140.24878110934822,140.24878110934822,70.74878110934783,517040.2773636762,0.0,0.0
64.0,242.0762042682249,3.51622776601684,0.05000000000000071,0.0,140.5925913768231,140.5925913768231,71.09259137682207,525753.0363711935,0.0,0.0
65.0,242.07840469061298,3.56622776601684,0.050000000000000266,0.0,140.93793289429672,140.93793289429672,71.43793289429634,534505.5989104677,0.0,0.0
66.0,242.08063618163789,3.61622776601684,0.04999999999999982,0.0,141.28480566177035,141.28480566177035,71.78480566177058,543298.1946690104,0.0,0.0
67.0,242.08289874129963,3.66622776601684,0.04999999999999982,0.0,141.63320967924454,141.63320967924454,72.13320967924481,552131.0533343242,0.0,0.0
68.0,242.0851923695982,3.71622776601684,0.050000000000000266,0.0,141.98314494671942,141.98314494671942,72.48314494671907,561004.4045938896,0.0,0.0
69.0,242.0875170665336,3.766227766016839,0.049999999999998934,0.0,142.33461146419182,142.33461146419182,72.83461146419332,569918.4781352244,0.0,0.0
70.0,242.0898728321058,3.81622776601684,0.050000000000001155,0.0,142.68760923166914,142.68760923166914,73.18760923166754,578873.5036458279,0.0,0.0
71.0,242.09225966631487,3.86622776601684,0.04999999999999982,0.0,143.04213824914157,143.04213824914157,73.5421382491418,587869.7108131913,0.0,0.0
72.0,242.09467756916078,3.916227766016839,0.049999999999998934,0.0,143.39819851661457,143.39819851661457,73.89819851661603,596907.3293248144,0.0,0.0
73.0,242.0971265406435,3.9662277660168392,0.050000000000000266,0.0,143.75579003409064,143.75579003409064,74.25579003409027,605986.5888682145,0.0,0.0
74.0,242.09960658076307,4.01622776601684,0.05000000000000071,0.0,144.1149128015655,144.1149128015655,74.61491280156453,615107.7191308716,0.0,0.0
