link_idx,offset_meters,elevation_meters,grade_percent,curvature_degrees,speed_limit_mps
0,0.0,0.0,-0.61,-4.0,17.881555555555554
0,100.0,-0.6062483999999992,-0.6,-0.13438320233923812,18.73808675992142
0,200.0,-1.2025908000000047,-0.6,0.0,16.665594133706215
0,300.0,-1.8007620000000166,-0.6,0.0,19.222672222222222
0,400.0,-2.3989332000000045,-0.6,0.0,18.775633333333335
0,500.0,-2.9971043999999996,-0.6,0.0596675415500027,18.775633333333335
0,600.0,-3.5952756000000017,-0.6,0.0,18.775633333333335
0,700.0,-4.193446799999732,-0.6,0.0,18.394300947812205
0,800.0,-4.775158800000025,-0.6,0.0,18.460920041472974
0,900.0,-5.345806251428601,-0.6,0.0,18.328594444444445
0,1000.0,-5.920570145454505,-0.6,0.0,18.775633333333335
0,1100.0,-6.482256490140839,-0.6,-0.07334664152820461,18.328594444444445
0,1200.0,-7.022696223853264,-0.6,0.1,18.328594444444445
0,1300.0,-7.522275628069958,-0.6,-0.052577857591979714,18.775633333333335
0,1400.0,-8.048024481701862,-0.6,0.0,18.328594444444445
0,1500.0,-8.49466392419782,-0.6,0.0,18.328594444444445
0,1600.0,-8.861438911789856,-0.6,0.0,18.49822693888537
0,1700.0,-9.16100223056715,-0.6,0.0,18.925203073176217
0,1800.0,-9.528365829441503,-0.6,0.0,19.16621835238517
0,1900.0,-10.05146227614197,-0.6,0.0,18.980093603490634
0,2000.0,-10.574558722842438,-0.6,0.0,18.793968854596095
0,2100.0,-11.127529442823418,-0.6,0.0,18.153431397456405
0,2200.0,-11.683764736941104,-0.6,0.0,17.463237034496853
0,2300.0,-12.1323637006986,-0.6,0.0,17.062455087652065
0,2400.0,-12.3421539104888,-0.6,0.0,17.30378178798756
0,2500.0,-12.551944120279002,-0.6,0.0,17.545108488323056
0,2600.0,-12.761734330069203,-0.6,0.0,17.786435188658555
0,2700.0,-12.971524539859404,-0.6,0.0,18.02776188899405
0,2800.0,-13.181314749649603,-0.6,0.0,18.269088589329545
0,2900.0,-13.391104959439804,-0.6,0.0,18.510415289665044
0,3000.0,-13.600895169230006,-0.6,0.0,18.75174199000054
0,3100.0,-18.53692999999978,-0.53,1.0675590550201741,19.222672222222222
0,3200.0,-19.048554338823127,-0.53,-0.1000308785901866,18.915328672382785
0,3300.0,-19.600228799999744,-0.52,0.011417322801580403,17.830515682562513
0,3400.0,-20.112303999999767,-0.52,0.5614173227507593,17.763049183393736
0,3500.0,-20.620264682666257,-0.52,1.37476815405085,17.881555555555554
0,3600.0,-21.010263573332768,-0.52,-0.03794109069633597,17.157089208059002
0,3700.0,-21.16541971030725,-0.52,0.0,17.27018321314894
0,3800.0,-22.169115839999623,-0.48,-2.5757480315151593,18.775633333333335
0,3900.0,-22.604961895383852,-0.48,-2.848606904907054,18.775633333333335
0,4000.0,-23.14005575999954,-0.45,-1.7664042018368935,18.328594444444445
0,4100.0,-23.581826159999512,-0.45,-1.7839895014033442,18.328594444444445
0,4200.0,-23.890782716249202,-0.45,-4.044943405512328,18.328594444444445
0,4300.0,-24.38066164444344,-0.38,2.884465830661121,17.881555555555554
0,4400.0,-24.55985191110993,-0.38,2.644801691452831,17.920894717038053
0,4500.0,-24.65389231515032,-0.38,1.443484053127365,18.10607944194828
0,4600.0,-24.747932719190704,-0.38,0.24216641480189863,18.291264166858497
0,4700.0,-25.925110639998994,-0.31,0.8744281964408653,20.11675
0,4800.0,-26.193848675554584,-0.31,1.9,20.11675
0,4900.0,-26.26065414022681,-0.31,1.9538242367994114,20.11675
0,5000.0,-26.850520399999095,-0.28,0.0,19.222672222222222
0,5100.0,-27.030299101393776,-0.28,0.0,19.222672222222222
0,5200.0,-27.33804421980458,-0.27,-1.0508421884165848,16.54043888888889
0,5300.0,-27.6380180153836,-0.25,1.8109428627667914,18.453960286592885
0,5400.0,-27.830914635292892,-0.25,3.006337810714006,19.222672222222222
0,5500.0,-27.93913470366371,-0.25,-0.9571168459940522,16.54043888888889
0,5600.0,-28.117145174867954,-0.25,-0.01237237360795846,16.54043888888889
0,5700.0,-28.586170524588667,-0.21,3.0717826255340723,18.202451807158344
0,5800.0,-28.81231850285598,-0.2,-2.8274465692405353,19.222672222222222
0,5900.0,-28.933826733331756,-0.2,-2.946231408574334,19.222672222222222
0,6000.0,-29.178732959998687,-0.14,0.7711473565736379,20.11675
0,6100.0,-29.262890119492262,-0.13322004053283543,0.0,20.578982775185
0,6200.0,-29.440918223998622,-0.12,-1.1377952751864489,18.328594444444445
0,6300.0,-29.479183837937395,-0.12,-0.05004886684216698,18.328594444444445
0,6400.0,-29.509764200897397,-0.12,0.0,18.328594444444445
0,6500.0,-29.581730493032246,-0.12,0.0,18.328594444444445
0,6600.0,-29.90127623999825,0.0,0.0,20.52506898395738
0,6700.0,-29.90127623999825,0.0,0.0,19.513658165944566
0,6800.0,-29.90127623999825,0.0,-0.01548556351766071,19.222672222222222
0,6900.0,-29.90127623999825,0.0,0.0,20.474909109584907
0,7000.0,-29.90127623999825,0.0,-2.0630671161870975,19.10265728232841
0,7100.0,-29.90127623999825,0.0,1.584993052483394,19.38286633375758
0,7200.0,-29.90127623999825,0.0,2.5134263467343527,18.582356929161254
0,7300.0,-29.90127623999825,0.0,1.0988778523617073,19.19431646516493
0,7400.0,-29.90127623999825,0.0,0.0,19.740478791076054
0,7500.0,-29.90127623999825,0.0,0.0,20.057595120003437
0,7600.0,-29.90127623999825,0.0,0.0,20.374711448930825
0,7700.0,-29.881545439997986,0.05,-2.440157480839751,16.987477777777777
0,7800.0,-29.832507119998017,0.05,-1.0034645668806146,16.54043888888889
0,7900.0,-29.798895392282454,0.05,-0.0808032561915663,16.54043888888889
0,8000.0,-29.791386423576952,0.05163691117584624,0.0,16.631909258046402
0,8100.0,-29.749912739366433,0.10689316203922318,0.0,19.719620881812617
0,8200.0,-29.431038639997215,0.2,-0.11128608906354649,19.222672222222222
0,8300.0,-29.238353839997174,0.2,0.0,18.775633333333335
0,8400.0,-29.097885039998147,0.2,0.0,19.222672222222222
0,8500.0,-29.069440595553655,0.2,0.0,19.222672222222222
0,8600.0,-28.954418350840886,0.2,0.0,19.044110417038738
0,8700.0,-28.81887618216622,0.2,0.0,18.82322743190485
0,8800.0,-28.22462591999714,0.21,3.0,19.222672222222222
0,8900.0,-28.028617010906434,0.21,3.0408335321778344,19.222672222222222
0,9000.0,-27.878099982731175,0.21,2.9770633886617834,19.222672222222222
0,9100.0,-27.590430559997056,0.22,0.0,20.56378888888889
0,9200.0,-27.39227849599797,0.22893175853063452,-0.08931758530634512,17.017984368419068
0,9300.0,-27.373212203338248,0.23,-0.03405070801958198,16.54043888888889
0,9400.0,-27.25817474392089,0.23,0.0,16.54043888888889
0,9500.0,-27.043069982016178,0.23,0.0,16.54043888888889
0,9600.0,-26.37336815999654,0.32,-3.2,16.987477777777777
0,9700.0,-26.071374062218936,0.32,-2.5382327209732076,16.987477777777777
0,9800.0,-25.944453759998222,0.35,0.0,16.54043888888889
0,9900.0,-25.381599237815593,0.36,0.0,21.010827777777777
0,10000.0,-25.330979173331556,0.36,0.0,21.010827777777777
0,10100.0,-24.60928375999613,0.41,3.719028872092299,16.65601193451864
0,10200.0,-24.203032799996375,0.41,2.9226771654334165,16.54043888888889
0,10300.0,-23.798172559996463,0.42,-0.7100612424672655,16.54043888888889
0,10400.0,-23.388779855996532,0.42,-1.620419947614868,16.54043888888889
0,10500.0,-23.130131369300607,0.42,-2.0818714521160646,16.54043888888889
0,10600.0,-22.51978759999641,0.43,-1.7902887141065524,16.0934
0,10700.0,-22.09503015999638,0.43,2.502296587583905,15.646361111111112
0,10800.0,-21.670272719996362,0.43,0.018897638321683972,15.973720297242199
0,10900.0,-21.29246689753195,0.43,-2.935828569377072,15.646361111111112
0,11000.0,-20.925785255208947,0.43,-0.8251820634033005,15.646361111111112
0,11100.0,-20.708966422968242,0.43,4.075024037837577,15.646361111111112
0,11200.0,-20.33913896438358,0.43,4.018578443822855,15.646361111111112
0,11300.0,-19.500323839996373,0.44,-2.8490813650564037,16.31828832959271
0,11400.0,-19.063006079996683,0.44,-3.8459842521598837,16.489047016409035
0,11500.0,-18.62434719999677,0.44,-3.5962379732216547,16.118822158848804
0,11600.0,-18.191052799996676,0.44,-2.004151753889283,16.54043888888889
0,11700.0,-17.768502613330654,0.44,3.9505686789328966,16.54043888888889
0,11800.0,-17.295510719996727,0.45,-2.0044619421331626,16.54043888888889
0,11900.0,-16.850997119996926,0.45,-2.3676290459163716,16.0934
0,12000.0,-16.427057519996836,0.45,-4.5,16.54043888888889
0,12100.0,-15.929092639996563,0.49,0.0,16.54043888888889
0,12200.0,-15.833285329438057,0.49,0.0,16.54043888888889
0,12300.0,-15.772723531685305,0.49,0.0,16.54043888888889
0,12400.0,-15.71216173393255,0.49,0.0,16.54043888888889
