time_seconds,speed_meters_per_second
0.0,4.510517558863185
1.0,4.510831101423225
2.0,4.511646881864418
3.0,4.512976659777895
4.0,4.51480951388976
5.0,4.517156057837435
6.0,4.520006896547785
7.0,4.523371125912473
8.0,4.527241341721328
9.0,4.531624549362803
10.0,4.536515996619784
11.0,4.541919827110459
12.0,4.547834795280498
13.0,4.554261216649304
14.0,4.561202396583625
15.0,4.5686536656402525
16.0,4.576624108890387
17.0,4.585105276968089
18.0,4.594105801476826
19.0,4.603621617754134
20.0,4.613653803015497
21.0,4.624208021110323
22.0,4.635278405747709
23.0,4.646871324561971
24.0,4.658986321060947
25.0,4.671621117411723
26.0,4.684782170101664
27.0,4.698467970861072
28.0,4.7126772761895985
29.0,4.727413716625488
30.0,4.742680315655589
31.0,4.758474038475176
32.0,4.7747961873122415
33.0,4.791649446115314
34.0,4.80903682077811
35.0,4.826955865749993
36.0,4.845407714009739
37.0,4.864393439508305
38.0,4.883914049146664
39.0,4.903970474661283
40.0,4.924565102814214
41.0,4.945697029167621
42.0,4.967366543958251
43.0,4.989574194862883
44.0,5.01232041436746
45.0,5.035605511645302
46.0,5.059429664522048
47.0,5.083792911556255
48.0,5.108695983546869
49.0,5.134139412731161
50.0,5.160121607358578
51.0,5.18664196516128
52.0,5.2136997066023705
53.0,5.241293868273923
54.0,5.269426486347563
55.0,5.298095199185732
56.0,5.3272966838678935
57.0,5.357031090662341
58.0,5.387299363194433
59.0,5.41809480721776
60.0,5.449420516441226
61.0,5.481270798757179
62.0,5.513645274325488
63.0,5.546540241089288
64.0,5.579954528690565
65.0,5.6138819276541065
66.0,5.648324788889059
67.0,5.6832743243156685
68.0,5.718728085782169
69.0,5.754685522421753
70.0,5.791138875379864
71.0,5.82808414936181
72.0,5.865517013196178
73.0,5.903432800805389
74.0,5.941827372107831
75.0,5.9806941654832135
76.0,6.020027379308036
77.0,6.059821074200578
78.0,6.10006920482975
79.0,6.140766206046069
80.0,6.181904414020194
81.0,6.223476655054602
82.0,6.265475479562391
83.0,6.307893510899498
84.0,6.350725403414516
85.0,6.393960205270289
86.0,6.437590857120401
87.0,6.481609994508018
88.0,6.526007132764895
89.0,6.570775798651085
90.0,6.615905262638706
91.0,6.661386892840066
92.0,6.707212596801691
93.0,6.753371362992044
94.0,6.799854001065251
95.0,6.846651709391491
96.0,6.893754481686475
97.0,6.941152038971221
98.0,6.988834541573229
99.0,7.036792038141811
100.0,7.085014490830093
101.0,7.133491800322915
102.0,7.18221383599199
103.0,7.231171327942863
104.0,7.280353355933263
105.0,7.329749789322438
106.0,7.379350997820223
107.0,7.429147443286091
108.0,7.479128334569901
109.0,7.529285310319117
110.0,7.579607411836846
111.0,7.630086389989832
112.0,7.6807121141900145
113.0,7.731475535663323
114.0,7.782368301313604
115.0,7.833381103133148
116.0,7.884505442916657
117.0,7.935733018347272
118.0,7.987055727780644
119.0,8.038465687134313
120.0,8.089955244937855
121.0,8.141516995549173
122.0,8.19314379055609
123.0,8.244828748395372
124.0,8.29656536200049
125.0,8.348347275113763
126.0,8.40016834888437
127.0,8.452022932888351
128.0,8.50390547775715
129.0,8.555810802176477
130.0,8.607733969929825
131.0,8.659670364107638
132.0,8.711615584466449
133.0,8.763565556151637
134.0,8.815516446563663
135.0,8.867464690459919
136.0,8.919406985800656
137.0,8.971340278765958
138.0,9.023261759129406
139.0,9.075168854529938
140.0,9.12705922377902
141.0,9.178930749336223
142.0,9.2307815290817
143.0,9.282609825025208
144.0,9.334414132703644
145.0,9.386193169339464
146.0,9.437945731002662
147.0,9.489670850990233
148.0,9.541367710776372
149.0,9.593035607093912
150.0,9.644673989983525
151.0,9.696282489622952
152.0,9.74786072166355
153.0,9.799408542354636
154.0,9.850925872011096
155.0,9.902412703573837
156.0,9.953869116948125
157.0,10.005295271172828
158.0,10.056691396824293
159.0,10.10805778870895
160.0,10.159394798892048
161.0,10.210702830104694
162.0,10.26198232956859
163.0,10.31323374935835
164.0,10.364457592487819
165.0,10.415654450373653
166.0,10.46682482639889
167.0,10.517969348576587
168.0,10.569088593601357
169.0,10.620183221893194
170.0,10.671253820778297
171.0,10.722301128344915
172.0,10.773325866763818
173.0,10.824328863251752
174.0,10.875311542869335
175.0,10.926270581267774
176.0,10.977205598222497
177.0,11.028118206231962
178.0,11.079009509775277
179.0,11.129880424186265
180.0,11.180731755290607
181.0,11.23156422662793
182.0,11.28237848828709
183.0,11.333175190614805
184.0,11.383954920249264
185.0,11.434718183632919
186.0,11.485465543088361
187.0,11.536197459149012
188.0,11.586914422251908
189.0,11.637616846210026
190.0,11.688305185460903
191.0,11.738979828546542
192.0,11.789641155820258
193.0,11.840289552814465
194.0,11.890925372528388
195.0,11.941548954810841
196.0,11.99216062706283
197.0,12.04276070488081
198.0,12.093349492648494
199.0,12.143927284083672
200.0,12.194494362745537
201.0,12.245051002506829
202.0,12.295597462040657
203.0,12.34613398884107
204.0,12.396660842675892
205.0,12.4471782508313
206.0,12.497686442534231
207.0,12.548185644401029
208.0,12.598676065396306
209.0,12.649157913867596
210.0,12.69963139815784
211.0,12.750096700010483
212.0,12.800554015422993
213.0,12.851003529057163
214.0,12.901445416963043
215.0,12.951879826642939
216.0,13.002306741259204
217.0,13.052726243943578
218.0,13.103138435387605
219.0,13.153543401504253
220.0,13.203941211741261
221.0,13.254331917105658
222.0,13.304715543901183
223.0,13.355092093791674
224.0,13.4054615542472
225.0,13.455823865748092
226.0,13.50617894379826
227.0,13.556526662157866
228.0,13.606866849070206
229.0,13.657199276759806
230.0,13.707523671147753
231.0,13.757839675327453
232.0,13.808146861639381
233.0,13.858444721762543
234.0,13.908732641646989
235.0,13.95900989464018
236.0,14.009275626409911
237.0,14.05952883815092
238.0,14.10976836794466
239.0,14.15999287014316
240.0,14.210200792651902
241.0,14.260390351992625
242.0,14.310559477369528
243.0,14.360705851454114
244.0,14.410826822701122
245.0,14.460919317844418
246.0,14.51097997096278
247.0,14.56100486032381
248.0,14.610989695609568
249.0,14.660929507068861
250.0,14.71081888548461
251.0,14.76065171848993
252.0,14.810421148539097
253.0,14.860119627383186
254.0,14.90973879652958
255.0,14.959269397434813
256.0,15.00870123303712
257.0,15.058023105483606
258.0,15.10722275449183
259.0,15.156286797184748
