ReportDate,Subdivision,LineCode,TrackNumber,beg_mp,end_mp,length_ft,length_m,grade_to_next,speed,curvature_deg
2022-12-28,HENDERSON,00H,SG,250.36988636363637,250.37007575757576,0.99999999999909051,0.30479999999972279,-0.61,40,-4
2022-12-28,HENDERSON,00H,SG,250.38030303030303,250.38049242424242,0.99999999999909051,0.30479999999972279,-0.61,40,-4
2022-12-28,HENDERSON,00H,SG,250.39337121212122,250.39356060606062,0.99999999999909051,0.30479999999972279,-0.61,41,-4
2022-12-28,HENDERSON,00H,SG,250.36780303030304,250.36799242424243,0.99999999999909051,0.30479999999972279,-0.61,41,-4
2022-12-28,HENDERSON,00H,SG,250.38162878787878,250.38181818181818,0.99999999999909051,0.30479999999972279,-0.61,40,-4
2022-12-28,HENDERSON,00H,SG,250.36174242424244,250.36193181818183,0.99999999999909051,0.30479999999972279,-0.61,41,-3.7
2022-12-28,HENDERSON,00H,SG,250.3689393939394,250.36912878787879,0.99999999999909051,0.30479999999972279,-0.61,41,-4
2022-12-28,HENDERSON,00H,SG,250.36231060606062,250.3625,0.99999999999909051,0.30479999999972279,-0.61,41,-3.7
2022-12-28,HENDERSON,00H,SG,250.39526515151516,250.39545454545456,0.99999999999909051,0.30479999999972279,-0.61,41,-4
2022-12-28,HENDERSON,00H,SG,250.36515151515152,250.36534090909092,0.99999999999909051,0.30479999999972279,-0.61,41,-3.9
2022-12-28,HENDERSON,00H,SG,250.36534090909092,250.36553030303031,0.99999999999909051,0.30479999999972279,-0.61,41,-3.8
2022-12-28,HENDERSON,00H,SG,250.38541666666666,250.38560606060605,0.99999999999909051,0.30479999999972279,-0.61,40,-4
2022-12-28,HENDERSON,00H,SG,250.36003787878789,250.36022727272729,0.99999999999909051,0.30479999999972279,-0.61,41,-3.6
2022-12-28,HENDERSON,00H,SG,250.39393939393941,250.3941287878788,0.99999999999909051,0.30479999999972279,-0.61,40,-4.1
2022-12-28,HENDERSON,00H,SG,250.36155303030304,250.36174242424244,0.99999999999909051,0.30479999999972279,-0.61,41,-3.8
2022-12-28,HENDERSON,00H,SG,250.39204545454547,250.39242424242425,1.999999999998181,0.60959999999944559,-0.61,40,-4
2022-12-28,HENDERSON,00H,SG,250.39545454545456,250.39583333333334,1.999999999998181,0.60959999999944559,-0.61,40,-4.1
2022-12-28,HENDERSON,00H,SG,250.39356060606062,250.39393939393941,1.999999999998181,0.60959999999944559,-0.61,41,-4.1
2022-12-28,HENDERSON,00H,SG,250.36912878787879,250.36950757575758,1.999999999998181,0.60959999999944559,-0.61,41,-3.9
2022-12-28,HENDERSON,00H,SG,250.36950757575758,250.36988636363637,1.999999999998181,0.60959999999944559,-0.61,41,-4
2022-12-28,HENDERSON,00H,SG,250.36193181818183,250.36231060606062,1.999999999998181,0.60959999999944559,-0.61,41,-3.8
2022-12-28,HENDERSON,00H,SG,250.39242424242425,250.39280303030304,1.999999999998181,0.60959999999944559,-0.61,41,-4
2022-12-28,HENDERSON,00H,SG,250.39867424242425,250.39924242424243,2.9999999999972715,0.91439999999916843,-0.61,40,-4.1
2022-12-28,HENDERSON,00H,SG,250.39280303030304,250.39337121212122,2.9999999999972715,0.91439999999916843,-0.61,41,-4.1
2022-12-28,HENDERSON,00H,SG,250.36799242424243,250.3689393939394,4.9999999999954525,1.523999999998614,-0.61,41,-3.9
2022-12-28,HENDERSON,00H,SG,250.38049242424242,250.38162878787878,5.999999999994543,1.8287999999983369,-0.61,41,-4
2022-12-28,HENDERSON,00H,SG,250.39393939393941,250.39526515151516,6.9999999999936335,2.1335999999980597,-0.61,41,-4.1
2022-12-28,HENDERSON,00H,SG,250.36022727272729,250.36155303030304,6.9999999999936335,2.1335999999980597,-0.61,41,-3.7
2022-12-28,HENDERSON,00H,SG,250.36553030303031,250.36780303030304,11.999999999989086,3.6575999999966737,-0.61,41,-3.9
2022-12-28,HENDERSON,00H,SG,250.3625,250.36515151515152,13.999999999987267,4.2671999999961194,-0.61,41,-3.8
2022-12-28,HENDERSON,00H,SG,250.39583333333334,250.39867424242425,14.999999999986358,4.5719999999958416,-0.61,41,-4.1
2022-12-28,HENDERSON,00H,SG,250.39924242424243,250.40227272727273,15.999999999985448,4.8767999999955647,-0.61,41,-4.1
2022-12-28,HENDERSON,00H,SG,250.38181818181818,250.38541666666666,18.99999999998272,5.791199999994733,-0.61,41,-4
2022-12-28,HENDERSON,00H,SG,250.38560606060605,250.39204545454547,34.000000000119144,10.363200000036315,-0.61,41,-4
