RunID,ReportDate,Subdivision,LineCode,TrackNumber,beg_mp,end_mp,length_ft,length_m,grade_to_next,speed,curvature_deg
2023051426,2023-05-14,HENDERSON,00H,1,192.77594696969697,192.77613636363637,0.99999999999909051,0.30479999999972279,-0.8,42,0.1
2023051426,2023-05-14,HENDERSON,00H,SG,219.18636363636364,219.18655303030303,0.99999999999909051,0.30479999999972279,0.6,55,0
2023051426,2023-05-14,HENDERSON,00H,SG,188.30454545454546,188.30473484848486,0.99999999999909051,0.30479999999972279,0.9,28,-0.6
2023051426,2023-05-14,HENDERSON,00H,SG,190.28503787878788,190.28522727272727,0.99999999999909051,0.30479999999972279,-0.4,30,0
2023051426,2023-05-14,HENDERSON,00H,SG,220.17424242424244,220.17443181818183,0.99999999999909051,0.30479999999972279,-0.6,52,0
2023051426,2023-05-14,HENDERSON,00H,SG,217.85265151515151,217.8528409090909,0.99999999999909051,0.30479999999972279,-0.53,55,0
2023051426,2023-05-14,HENDERSON,00H,1,216.24526515151516,216.24545454545455,0.99999999999909051,0.30479999999972279,0.07,59,0
2023051426,2023-05-14,HENDERSON,00H,SG,197.83920454545455,197.83939393939394,0.99999999999909051,0.30479999999972279,-0.76,56,1.2
2023051426,2023-05-14,HENDERSON,00H,SG,216.9344696969697,216.93465909090909,0.99999999999909051,0.30479999999972279,0.41,57,0
2023051426,2023-05-14,HENDERSON,00H,SG,250.30984848484849,250.31003787878788,0.99999999999909051,0.30479999999972279,-0.12,40,-0.8
2023051426,2023-05-14,HENDERSON,00H,1,216.05416666666667,216.05435606060607,0.99999999999909051,0.30479999999972279,-0.27,59,0
2023051426,2023-05-14,HENDERSON,00H,SG,226.85132575757575,226.85151515151514,0.99999999999909051,0.30479999999972279,0.6,60,-0.1
2023051426,2023-05-14,HENDERSON,00H,1,216.0998106060606,216.1,0.99999999999909051,0.30479999999972279,-0.27,59,0
2023051426,2023-05-14,HENDERSON,00H,SG,187.02367424242425,187.02386363636364,0.99999999999909051,0.30479999999972279,0.69,31,0
2023051426,2023-05-14,HENDERSON,00H,1,216.19943181818181,216.1996212121212,0.99999999999909051,0.30479999999972279,-0.27,59,0
2023051426,2023-05-14,HENDERSON,00H,SG,251.40662878787879,251.40681818181818,0.99999999999909051,0.30479999999972279,-0.6,42,0
2023051426,2023-05-14,HENDERSON,00H,SG,226.88503787878787,226.88522727272726,0.99999999999909051,0.30479999999972279,0.6,59,-0.1
2023051426,2023-05-14,HENDERSON,00H,SG,197.21647727272727,197.21666666666667,0.99999999999909051,0.30479999999972279,-0.6,54,-1
2023051426,2023-05-14,HENDERSON,00H,1,231.93787878787879,231.93806818181818,0.99999999999909051,0.30479999999972279,0.6,40,0
2023051426,2023-05-14,HENDERSON,00H,SG,246.08996212121212,246.09015151515152,0.99999999999909051,0.30479999999972279,0.35,33,0.1
2023051426,2023-05-14,HENDERSON,00H,SG,211.66704545454544,211.66723484848484,0.99999999999909051,0.30479999999972279,-0.8,52,0
2023051426,2023-05-14,HENDERSON,00H,SG,203.04393939393938,203.04412878787878,0.99999999999909051,0.30479999999972279,-0.24,36,0
2023051426,2023-05-14,HENDERSON,00H,SG,246.00454545454545,246.00473484848484,0.99999999999909051,0.30479999999972279,0.42,33,-0.3
2023051426,2023-05-14,HENDERSON,00H,SG,246.19015151515151,246.19034090909091,0.99999999999909051,0.30479999999972279,0.05,34,-0.4
2023051426,2023-05-14,HENDERSON,00H,SG,255.35227272727272,255.35246212121211,0.99999999999909051,0.30479999999972279,-0.6,32,0.4
2023051426,2023-05-14,HENDERSON,00H,1,216.60492424242423,216.60511363636363,0.99999999999909051,0.30479999999972279,0.41,57,-0.1
2023051426,2023-05-14,HENDERSON,00H,SG,211.48314393939393,211.48333333333332,0.99999999999909051,0.30479999999972279,-0.38,54,0
2023051426,2023-05-14,HENDERSON,00H,SG,227.59337121212121,227.59356060606061,0.99999999999909051,0.30479999999972279,-0.61,60,0
2023051426,2023-05-14,HENDERSON,00H,1,216.30208333333334,216.30227272727274,0.99999999999909051,0.30479999999972279,0.07,59,0
2023051426,2023-05-14,HENDERSON,00H,SG,198.31780303030303,198.31799242424242,0.99999999999909051,0.30479999999972279,-0.8,54,0.1
2023051426,2023-05-14,HENDERSON,00H,SG,238.28446969696969,238.28465909090909,0.99999999999909051,0.30479999999972279,0.46,31,0
2023051426,2023-05-14,HENDERSON,00H,1,216.74734848484849,216.74753787878788,0.99999999999909051,0.30479999999972279,0.41,57,0
2023051426,2023-05-14,HENDERSON,00H,SG,228.85681818181817,228.85700757575756,0.99999999999909051,0.30479999999972279,0.59,60,0
2023051426,2023-05-14,HENDERSON,00H,SG,210.47405303030303,210.47424242424242,0.99999999999909051,0.30479999999972279,1,53,0
2023051426,2023-05-14,HENDERSON,00H,SG,219.65094696969697,219.65113636363637,0.99999999999909051,0.30479999999972279,-0.33,55,0
2023051426,2023-05-14,HENDERSON,00H,SG,249.55568181818182,249.55587121212122,0.99999999999909051,0.30479999999972279,-0.6,38,-0.2
2023051426,2023-05-14,HENDERSON,00H,SG,198.42329545454547,198.42348484848486,0.99999999999909051,0.30479999999972279,-0.73,52,-0.5
2023051426,2023-05-14,HENDERSON,00H,1,232.92992424242425,232.93011363636364,0.99999999999909051,0.30479999999972279,0.27,38,0
2023051426,2023-05-14,HENDERSON,00H,SG,240.0746212121212,240.07481060606059,0.99999999999909051,0.30479999999972279,-0.16,25,0
2023051426,2023-05-14,HENDERSON,00H,SG,224.16268939393939,224.16287878787878,0.99999999999909051,0.30479999999972279,0,57,0
2023051426,2023-05-14,HENDERSON,00H,SG,200.44772727272726,200.44791666666666,0.99999999999909051,0.30479999999972279,1.03,48,0
2023051426,2023-05-14,HENDERSON,00H,1,216.25928030303029,216.25946969696969,0.99999999999909051,0.30479999999972279,0.07,59,0
2023051426,2023-05-14,HENDERSON,00H,1,194.79829545454547,194.79848484848486,0.99999999999909051,0.30479999999972279,0.98,37,1
2023051426,2023-05-14,HENDERSON,00H,SG,187.56231060606061,187.5625,0.99999999999909051,0.30479999999972279,0.82,30,0
2023051426,2023-05-14,HENDERSON,00H,SG,225.30189393939395,225.30208333333334,0.99999999999909051,0.30479999999972279,-0.5,58,0
2023051426,2023-05-14,HENDERSON,00H,SG,241.82537878787878,241.82556818181817,0.99999999999909051,0.30479999999972279,0.43,36,-2
2023051426,2023-05-14,HENDERSON,00H,SG,248.04204545454544,248.04223484848484,0.99999999999909051,0.30479999999972279,-0.52,26,1.8
2023051426,2023-05-14,HENDERSON,00H,SG,189.76553030303029,189.76571969696968,0.99999999999909051,0.30479999999972279,0.95,28,0
2023051426,2023-05-14,HENDERSON,00H,SG,202.34015151515152,202.34034090909091,0.99999999999909051,0.30479999999972279,0.99,37,-0.3
2023051426,2023-05-14,HENDERSON,00H,SG,189.46950757575758,189.46969696969697,0.99999999999909051,0.30479999999972279,0.93,27,1.9
2023051426,2023-05-14,HENDERSON,00H,SG,241.90852272727273,241.90871212121212,0.99999999999909051,0.30479999999972279,0.43,36,-4.2
2023051426,2023-05-14,HENDERSON,00H,SG,241.82291666666666,241.82310606060605,0.99999999999909051,0.30479999999972279,0.43,37,-1.9
2023051426,2023-05-14,HENDERSON,00H,SG,246.21515151515152,246.21534090909091,0.99999999999909051,0.30479999999972279,0.05,34,-1
2023051426,2023-05-14,HENDERSON,00H,SG,201.00795454545454,201.00814393939393,0.99999999999909051,0.30479999999972279,-0.81,45,0
2023051426,2023-05-14,HENDERSON,00H,SG,245.2,245.20018939393938,0.99999999999909051,0.30479999999972279,0.6,38,0.6
2023051426,2023-05-14,HENDERSON,00H,SG,241.74621212121212,241.74640151515152,0.99999999999909051,0.30479999999972279,0.63,37,0
2023051426,2023-05-14,HENDERSON,00H,SG,220.16003787878788,220.16022727272727,0.99999999999909051,0.30479999999972279,-0.6,52,0
